n_cooling,%agr,%clas,%red
0,61.0221,86.9565,35.0877
1,64.7407,89.1304,40.3509
2,64.7407,89.1304,40.3509
3,64.7407,89.1304,40.3509
4,66.2853,86.9565,45.614
5,72.2159,84.7826,59.6491
6,76.4779,88.0435,64.9123
7,76.4779,88.0435,64.9123
8,76.4779,88.0435,64.9123
9,76.4779,88.0435,64.9123
10,76.4779,88.0435,64.9123
11,76.4779,88.0435,64.9123
12,76.4779,88.0435,64.9123
13,76.4779,88.0435,64.9123
14,76.4779,88.0435,64.9123
15,76.4779,88.0435,64.9123
16,76.4779,88.0435,64.9123
17,76.4779,88.0435,64.9123
18,76.4779,88.0435,64.9123
19,76.4779,88.0435,64.9123
20,76.4779,88.0435,64.9123
21,76.4779,88.0435,64.9123
22,76.4779,88.0435,64.9123
23,76.4779,88.0435,64.9123
24,76.4779,88.0435,64.9123
25,76.4779,88.0435,64.9123
26,76.4779,88.0435,64.9123
27,76.4779,88.0435,64.9123
28,76.4779,88.0435,64.9123
29,76.4779,88.0435,64.9123
30,76.4779,88.0435,64.9123
31,76.4779,88.0435,64.9123
32,76.4779,88.0435,64.9123
33,76.4779,88.0435,64.9123
34,76.4779,88.0435,64.9123
35,76.4779,88.0435,64.9123
36,76.4779,88.0435,64.9123
37,76.4779,88.0435,64.9123
38,76.4779,88.0435,64.9123
39,76.4779,88.0435,64.9123
40,76.4779,88.0435,64.9123
41,76.4779,88.0435,64.9123
42,76.4779,88.0435,64.9123
43,76.4779,88.0435,64.9123
44,76.4779,88.0435,64.9123
45,76.4779,88.0435,64.9123
46,76.4779,88.0435,64.9123
47,76.4779,88.0435,64.9123
48,76.4779,88.0435,64.9123
49,76.4779,88.0435,64.9123
50,76.4779,88.0435,64.9123
51,76.4779,88.0435,64.9123
52,76.4779,88.0435,64.9123
53,76.4779,88.0435,64.9123
54,76.4779,88.0435,64.9123
55,76.4779,88.0435,64.9123
56,76.4779,88.0435,64.9123
57,76.4779,88.0435,64.9123
58,76.4779,88.0435,64.9123
59,76.4779,88.0435,64.9123
60,76.4779,88.0435,64.9123
61,76.4779,88.0435,64.9123
62,76.4779,88.0435,64.9123
63,76.4779,88.0435,64.9123
64,76.4779,88.0435,64.9123
65,77.6888,86.9565,68.4211
66,77.6888,86.9565,68.4211
67,77.6888,86.9565,68.4211
68,77.6888,86.9565,68.4211
69,77.6888,86.9565,68.4211
70,77.8986,89.1304,66.6667
71,77.8986,89.1304,66.6667
72,77.8986,89.1304,66.6667
73,80.1964,90.2174,70.1754
74,82.4943,91.3044,73.6842
75,82.4943,91.3044,73.6842
76,82.4943,91.3044,73.6842
77,82.4943,91.3044,73.6842
78,82.4943,91.3044,73.6842
79,82.4943,91.3044,73.6842
80,82.4943,91.3044,73.6842
81,82.4943,91.3044,73.6842
82,82.4943,91.3044,73.6842
83,82.4943,91.3044,73.6842
84,82.4943,91.3044,73.6842
85,82.4943,91.3044,73.6842
86,82.4943,91.3044,73.6842
87,82.4943,91.3044,73.6842
88,82.4943,91.3044,73.6842
89,82.4943,91.3044,73.6842
90,82.4943,91.3044,73.6842
91,82.4943,91.3044,73.6842
92,82.4943,91.3044,73.6842
93,82.4943,91.3044,73.6842
94,82.4943,91.3044,73.6842
95,82.4943,91.3044,73.6842
96,82.4943,91.3044,73.6842
97,82.4943,91.3044,73.6842
98,82.4943,91.3044,73.6842
99,82.4943,91.3044,73.6842
100,82.4943,91.3044,73.6842
101,82.4943,91.3044,73.6842
102,82.4943,91.3044,73.6842
103,82.4943,91.3044,73.6842
104,82.4943,91.3044,73.6842
105,82.4943,91.3044,73.6842
106,82.4943,91.3044,73.6842
107,82.4943,91.3044,73.6842
108,82.4943,91.3044,73.6842
109,82.4943,91.3044,73.6842
110,82.4943,91.3044,73.6842
111,82.4943,91.3044,73.6842
112,82.4943,91.3044,73.6842
113,82.4943,91.3044,73.6842
114,82.4943,91.3044,73.6842
115,82.4943,91.3044,73.6842
116,82.4943,91.3044,73.6842
117,82.4943,91.3044,73.6842
118,82.4943,91.3044,73.6842
119,82.4943,91.3044,73.6842
120,82.4943,91.3044,73.6842
121,82.4943,91.3044,73.6842
122,82.4943,91.3044,73.6842
123,82.4943,91.3044,73.6842
124,82.4943,91.3044,73.6842
125,82.4943,91.3044,73.6842
126,82.4943,91.3044,73.6842
127,82.4943,91.3044,73.6842
128,82.4943,91.3044,73.6842
129,82.4943,91.3044,73.6842
130,82.4943,91.3044,73.6842
131,82.4943,91.3044,73.6842
132,82.4943,91.3044,73.6842
133,82.4943,91.3044,73.6842
134,82.4943,91.3044,73.6842
135,82.4943,91.3044,73.6842
136,82.4943,91.3044,73.6842
137,82.4943,91.3044,73.6842
138,82.4943,91.3044,73.6842
139,82.4943,91.3044,73.6842
140,82.4943,91.3044,73.6842
141,82.4943,91.3044,73.6842
142,82.4943,91.3044,73.6842
143,82.4943,91.3044,73.6842
144,82.4943,91.3044,73.6842
145,82.9519,86.9565,78.9474
146,83.9531,83.6956,84.2105
147,83.9531,83.6956,84.2105
148,83.9531,83.6956,84.2105
149,83.9531,83.6956,84.2105
150,83.9531,83.6956,84.2105
