n_cooling,%agr,%clas,%red
0,57.7613,80.4348,35.0877
1,62.1472,80.4348,43.8596
2,64.8646,85.8696,43.8596
3,64.8646,85.8696,43.8596
4,65.1983,84.7826,45.614
5,66.8288,88.0435,45.614
6,66.8288,88.0435,45.614
7,66.8288,88.0435,45.614
8,68.6213,79.3478,57.8947
9,70.2517,82.6087,57.8947
10,70.2517,82.6087,57.8947
11,70.2517,82.6087,57.8947
12,70.2517,82.6087,57.8947
13,70.2517,82.6087,57.8947
14,70.2517,82.6087,57.8947
15,70.2517,82.6087,57.8947
16,70.2517,82.6087,57.8947
17,70.2517,82.6087,57.8947
18,70.2517,82.6087,57.8947
19,70.2517,82.6087,57.8947
20,70.2517,82.6087,57.8947
21,70.2517,82.6087,57.8947
22,70.2517,82.6087,57.8947
23,70.2517,82.6087,57.8947
24,70.2517,82.6087,57.8947
25,70.2517,82.6087,57.8947
26,70.2517,82.6087,57.8947
27,70.2517,82.6087,57.8947
28,70.2517,82.6087,57.8947
29,70.2517,82.6087,57.8947
30,70.2517,82.6087,57.8947
31,70.2517,82.6087,57.8947
32,70.2517,82.6087,57.8947
33,70.2517,82.6087,57.8947
34,70.2517,82.6087,57.8947
35,70.2517,82.6087,57.8947
36,70.2517,82.6087,57.8947
37,70.2517,82.6087,57.8947
38,70.2517,82.6087,57.8947
39,70.2517,82.6087,57.8947
40,70.2517,82.6087,57.8947
41,70.2517,82.6087,57.8947
42,70.2517,82.6087,57.8947
43,70.2517,82.6087,57.8947
44,70.2517,82.6087,57.8947
45,70.2517,82.6087,57.8947
46,70.2517,82.6087,57.8947
47,70.2517,82.6087,57.8947
48,70.2517,82.6087,57.8947
49,70.2517,82.6087,57.8947
50,70.2517,82.6087,57.8947
51,70.2517,82.6087,57.8947
52,70.2517,82.6087,57.8947
53,70.2517,82.6087,57.8947
54,70.2517,82.6087,57.8947
55,70.2517,82.6087,57.8947
56,70.2517,82.6087,57.8947
57,70.2517,82.6087,57.8947
58,70.2517,82.6087,57.8947
59,70.2517,82.6087,57.8947
60,70.2517,82.6087,57.8947
61,70.2517,82.6087,57.8947
62,70.2517,82.6087,57.8947
63,70.2517,82.6087,57.8947
64,70.2517,82.6087,57.8947
65,71.8822,85.8696,57.8947
66,71.8822,85.8696,57.8947
67,71.8822,85.8696,57.8947
68,71.8822,85.8696,57.8947
69,72.6354,89.1304,56.1404
70,72.6354,89.1304,56.1404
71,72.6354,89.1304,56.1404
72,72.6354,89.1304,56.1404
73,72.6354,89.1304,56.1404
74,72.6354,89.1304,56.1404
75,72.6354,89.1304,56.1404
76,72.6354,89.1304,56.1404
77,72.6354,89.1304,56.1404
78,72.6354,89.1304,56.1404
79,72.6354,89.1304,56.1404
80,72.6354,89.1304,56.1404
81,72.6354,89.1304,56.1404
82,72.6354,89.1304,56.1404
83,72.6354,89.1304,56.1404
84,72.6354,89.1304,56.1404
85,72.6354,89.1304,56.1404
86,72.6354,89.1304,56.1404
87,72.6354,89.1304,56.1404
88,72.6354,89.1304,56.1404
89,72.6354,89.1304,56.1404
90,72.6354,89.1304,56.1404
91,72.6354,89.1304,56.1404
92,72.6354,89.1304,56.1404
93,72.6354,89.1304,56.1404
94,72.6354,89.1304,56.1404
95,72.6354,89.1304,56.1404
96,72.6354,89.1304,56.1404
97,72.6354,89.1304,56.1404
98,72.6354,89.1304,56.1404
99,72.6354,89.1304,56.1404
100,72.6354,89.1304,56.1404
101,72.6354,89.1304,56.1404
102,74.304,83.6956,64.9123
103,74.304,83.6956,64.9123
104,74.304,83.6956,64.9123
105,74.304,83.6956,64.9123
106,74.304,83.6956,64.9123
107,74.304,83.6956,64.9123
108,74.304,83.6956,64.9123
109,74.304,83.6956,64.9123
110,74.304,83.6956,64.9123
111,74.304,83.6956,64.9123
112,74.304,83.6956,64.9123
113,74.304,83.6956,64.9123
114,74.304,83.6956,64.9123
115,74.304,83.6956,64.9123
116,74.304,83.6956,64.9123
117,74.304,83.6956,64.9123
118,74.304,83.6956,64.9123
119,74.304,83.6956,64.9123
120,74.304,83.6956,64.9123
121,74.304,83.6956,64.9123
122,74.304,83.6956,64.9123
123,74.304,83.6956,64.9123
124,74.304,83.6956,64.9123
125,74.304,83.6956,64.9123
126,74.304,83.6956,64.9123
127,74.304,83.6956,64.9123
128,74.304,83.6956,64.9123
129,74.304,83.6956,64.9123
130,74.304,83.6956,64.9123
131,74.304,83.6956,64.9123
132,74.304,83.6956,64.9123
133,74.304,83.6956,64.9123
134,74.304,83.6956,64.9123
135,74.304,83.6956,64.9123
136,74.304,83.6956,64.9123
137,74.304,83.6956,64.9123
138,74.304,83.6956,64.9123
139,74.304,83.6956,64.9123
140,74.304,83.6956,64.9123
141,74.304,83.6956,64.9123
142,74.304,83.6956,64.9123
143,74.304,83.6956,64.9123
144,74.304,83.6956,64.9123
145,74.304,83.6956,64.9123
146,74.304,83.6956,64.9123
147,74.304,83.6956,64.9123
148,74.304,83.6956,64.9123
149,74.304,83.6956,64.9123
150,74.304,83.6956,64.9123
151,74.304,83.6956,64.9123
152,74.304,83.6956,64.9123
153,74.304,83.6956,64.9123
