n_it,%agr,%clas,%red
1,48.8654,83.6956,14.0351
2,48.8654,83.6956,14.0351
3,50.286,84.7826,15.7895
4,50.8295,85.8696,15.7895
5,52.5839,85.8696,19.2982
6,53.4611,85.8696,21.0526
7,53.7948,84.7826,22.807
8,53.9188,81.5217,26.3158
9,53.9188,81.5217,26.3158
10,54.672,84.7826,24.5614
11,55.759,86.9565,24.5614
12,55.759,86.9565,24.5614
13,55.759,86.9565,24.5614
14,55.759,86.9565,24.5614
