n_gen,%agr,%clas,%red
0,46.3577,80.4348,12.2807
1,48.1121,80.4348,15.7895
2,43.3924,81.5217,5.26316
3,47.111,83.6956,10.5263
4,47.111,83.6956,10.5263
5,49.0751,85.8696,12.2807
6,48.5317,84.7826,12.2807
7,49.0751,85.8696,12.2807
8,49.0751,85.8696,12.2807
9,47.9882,83.6956,12.2807
10,49.9523,85.8696,14.0351
11,49.9523,85.8696,14.0351
12,48.5317,84.7826,12.2807
13,49.0751,85.8696,12.2807
14,49.0751,85.8696,12.2807
15,50.1621,88.0435,12.2807
16,49.6186,86.9565,12.2807
17,51.0393,88.0435,14.0351
18,50.1621,88.0435,12.2807
19,51.0393,88.0435,14.0351
20,52.7937,88.0435,17.5439
21,51.0393,88.0435,14.0351
22,52.7937,88.0435,17.5439
23,51.5828,89.1304,14.0351
24,51.5828,89.1304,14.0351
25,51.5828,89.1304,14.0351
26,51.5828,89.1304,14.0351
27,51.5828,89.1304,14.0351
28,51.5828,89.1304,14.0351
29,51.5828,89.1304,14.0351
30,51.9165,88.0435,15.7895
31,51.5828,89.1304,14.0351
32,51.5828,89.1304,14.0351
33,51.5828,89.1304,14.0351
34,51.5828,89.1304,14.0351
35,51.5828,89.1304,14.0351
36,51.5828,89.1304,14.0351
37,51.5828,89.1304,14.0351
38,51.5828,89.1304,14.0351
39,51.5828,89.1304,14.0351
40,51.5828,89.1304,14.0351
41,51.5828,89.1304,14.0351
42,51.5828,89.1304,14.0351
43,51.5828,89.1304,14.0351
44,51.5828,89.1304,14.0351
45,51.5828,89.1304,14.0351
46,51.5828,89.1304,14.0351
47,51.5828,89.1304,14.0351
48,51.5828,89.1304,14.0351
49,51.5828,89.1304,14.0351
50,51.5828,89.1304,14.0351
51,51.5828,89.1304,14.0351
52,51.5828,89.1304,14.0351
53,51.5828,89.1304,14.0351
54,51.5828,89.1304,14.0351
55,51.5828,89.1304,14.0351
56,51.5828,89.1304,14.0351
57,51.5828,89.1304,14.0351
58,51.5828,89.1304,14.0351
59,51.5828,89.1304,14.0351
60,53.0034,90.2174,15.7895
61,51.5828,89.1304,14.0351
62,51.5828,89.1304,14.0351
63,51.5828,89.1304,14.0351
64,51.5828,89.1304,14.0351
65,51.5828,89.1304,14.0351
66,51.5828,89.1304,14.0351
67,53.0034,90.2174,15.7895
68,51.5828,89.1304,14.0351
69,51.5828,89.1304,14.0351
70,52.7937,88.0435,17.5439
71,51.5828,89.1304,14.0351
72,51.5828,89.1304,14.0351
73,51.5828,89.1304,14.0351
74,52.7937,88.0435,17.5439
75,51.5828,89.1304,14.0351
76,51.5828,89.1304,14.0351
77,52.7937,88.0435,17.5439
78,52.7937,88.0435,17.5439
79,53.3372,89.1304,17.5439
80,51.9165,88.0435,15.7895
81,53.3372,89.1304,17.5439
82,53.3372,89.1304,17.5439
83,53.3372,89.1304,17.5439
84,53.3372,89.1304,17.5439
85,53.3372,89.1304,17.5439
86,53.3372,89.1304,17.5439
87,53.3372,89.1304,17.5439
88,53.3372,89.1304,17.5439
89,53.3372,89.1304,17.5439
