n_it,%agr,%clas,%red
1,48.8654,83.6956,14.0351
2,48.8654,83.6956,14.0351
3,56.2166,82.6087,29.8246
4,58.5145,83.6956,33.3333
5,58.5145,83.6956,33.3333
6,62.357,82.6087,42.1053
7,64.8646,85.8696,43.8596
8,65.532,83.6956,47.3684
9,66.4092,83.6956,49.1228
10,66.4092,83.6956,49.1228
11,66.9908,76.087,57.8947
12,70.9191,80.4348,61.4035
13,70.9191,80.4348,61.4035
14,73.7986,73.913,73.6842
