n_cooling,%agr,%clas,%red
0,59.058,84.7826,33.3333
1,62.8146,78.2609,47.3684
2,67.0767,81.5217,52.6316
3,67.0767,81.5217,52.6316
4,69.4985,79.3478,59.6491
5,69.4985,79.3478,59.6491
6,69.4985,79.3478,59.6491
7,69.4985,79.3478,59.6491
8,69.4985,79.3478,59.6491
9,69.4985,79.3478,59.6491
10,69.794,86.9565,52.6316
11,71.2147,88.0435,54.386
12,71.6343,92.3913,50.8772
13,71.6343,92.3913,50.8772
14,71.6343,92.3913,50.8772
15,71.6343,92.3913,50.8772
16,71.6343,92.3913,50.8772
17,71.6343,92.3913,50.8772
18,71.6343,92.3913,50.8772
19,71.6343,92.3913,50.8772
20,71.6343,92.3913,50.8772
21,71.6343,92.3913,50.8772
22,71.6343,92.3913,50.8772
23,71.6343,92.3913,50.8772
24,71.6343,92.3913,50.8772
25,71.6343,92.3913,50.8772
26,71.6343,92.3913,50.8772
27,71.6343,92.3913,50.8772
28,71.6343,92.3913,50.8772
29,71.6343,92.3913,50.8772
30,71.6343,92.3913,50.8772
31,71.6343,92.3913,50.8772
32,71.6343,92.3913,50.8772
33,71.968,91.3044,52.6316
34,73.3028,86.9565,59.6491
35,73.3028,86.9565,59.6491
36,73.3028,86.9565,59.6491
37,73.3028,86.9565,59.6491
38,73.3028,86.9565,59.6491
39,75.267,89.1304,61.4035
40,75.267,89.1304,61.4035
41,75.267,89.1304,61.4035
42,75.267,89.1304,61.4035
43,75.267,89.1304,61.4035
44,75.267,89.1304,61.4035
45,75.267,89.1304,61.4035
46,75.267,89.1304,61.4035
47,75.267,89.1304,61.4035
48,75.267,89.1304,61.4035
49,75.267,89.1304,61.4035
50,75.267,89.1304,61.4035
51,75.267,89.1304,61.4035
52,75.267,89.1304,61.4035
53,75.267,89.1304,61.4035
54,75.267,89.1304,61.4035
55,75.267,89.1304,61.4035
56,75.267,89.1304,61.4035
57,75.267,89.1304,61.4035
58,75.267,89.1304,61.4035
59,75.267,89.1304,61.4035
60,75.267,89.1304,61.4035
61,75.267,89.1304,61.4035
62,75.267,89.1304,61.4035
63,75.267,89.1304,61.4035
64,75.267,89.1304,61.4035
65,75.267,89.1304,61.4035
66,75.267,89.1304,61.4035
67,75.267,89.1304,61.4035
68,75.267,89.1304,61.4035
69,75.267,89.1304,61.4035
70,75.267,89.1304,61.4035
71,75.267,89.1304,61.4035
72,75.267,89.1304,61.4035
73,75.267,89.1304,61.4035
74,75.267,89.1304,61.4035
75,75.267,89.1304,61.4035
76,75.267,89.1304,61.4035
77,75.267,89.1304,61.4035
78,75.267,89.1304,61.4035
79,75.267,89.1304,61.4035
80,75.267,89.1304,61.4035
81,75.267,89.1304,61.4035
82,75.267,89.1304,61.4035
83,75.267,89.1304,61.4035
84,75.267,89.1304,61.4035
85,75.267,89.1304,61.4035
86,75.267,89.1304,61.4035
87,75.267,89.1304,61.4035
88,75.267,89.1304,61.4035
89,75.267,89.1304,61.4035
90,75.267,89.1304,61.4035
91,75.267,89.1304,61.4035
92,75.267,89.1304,61.4035
93,75.267,89.1304,61.4035
94,75.267,89.1304,61.4035
95,75.267,89.1304,61.4035
96,75.267,89.1304,61.4035
97,75.267,89.1304,61.4035
98,75.267,89.1304,61.4035
99,75.6007,88.0435,63.1579
100,75.6007,88.0435,63.1579
101,77.1453,85.8696,68.4211
102,77.1453,85.8696,68.4211
103,77.1453,85.8696,68.4211
104,77.1453,85.8696,68.4211
105,77.1453,85.8696,68.4211
106,77.1453,85.8696,68.4211
107,77.1453,85.8696,68.4211
108,77.1453,85.8696,68.4211
109,77.1453,85.8696,68.4211
110,77.1453,85.8696,68.4211
111,77.2311,91.3044,63.1579
112,78.1083,91.3044,64.9123
113,78.1083,91.3044,64.9123
114,78.1083,91.3044,64.9123
115,78.1083,91.3044,64.9123
116,78.1083,91.3044,64.9123
117,78.1083,91.3044,64.9123
118,78.1083,91.3044,64.9123
119,78.1083,91.3044,64.9123
120,78.1083,91.3044,64.9123
121,78.1083,91.3044,64.9123
122,78.1083,91.3044,64.9123
123,78.1083,91.3044,64.9123
124,78.1083,91.3044,64.9123
125,78.1083,91.3044,64.9123
126,78.1083,91.3044,64.9123
127,78.1083,91.3044,64.9123
128,78.1083,91.3044,64.9123
129,78.1083,91.3044,64.9123
130,78.1083,91.3044,64.9123
131,78.1083,91.3044,64.9123
132,78.1083,91.3044,64.9123
133,78.1083,91.3044,64.9123
134,78.1083,91.3044,64.9123
135,78.1083,91.3044,64.9123
136,78.1083,91.3044,64.9123
137,78.1083,91.3044,64.9123
138,78.1083,91.3044,64.9123
139,78.1083,91.3044,64.9123
140,78.1083,91.3044,64.9123
141,78.1083,91.3044,64.9123
142,78.1083,91.3044,64.9123
143,78.1083,91.3044,64.9123
144,78.1083,91.3044,64.9123
145,78.1083,91.3044,64.9123
146,78.1083,91.3044,64.9123
147,78.1083,91.3044,64.9123
148,78.1083,91.3044,64.9123
149,78.1083,91.3044,64.9123
150,78.1083,91.3044,64.9123
151,78.1083,91.3044,64.9123
152,78.1083,91.3044,64.9123
