n_it,%agr,%clas,%red
1,52.2502,86.9565,17.5439
2,59.058,84.7826,33.3333
3,60.4786,85.8696,35.0877
4,60.4786,85.8696,35.0877
5,66.4092,83.6956,49.1228
6,66.4092,83.6956,49.1228
7,71.3387,84.7826,57.8947
8,71.6724,83.6956,59.6491
9,71.6724,83.6956,59.6491
10,80.5301,89.1304,71.9298
11,81.4073,89.1304,73.6842
12,81.4073,89.1304,73.6842
13,84.4966,84.7826,84.2105
14,84.4966,84.7826,84.2105
