n_it,%agr,%clas,%red
1,50.8295,85.8696,15.7895
2,52.2502,86.9565,17.5439
3,52.2502,86.9565,17.5439
4,52.2502,86.9565,17.5439
5,52.2502,86.9565,17.5439
6,52.2502,86.9565,17.5439
7,52.2502,86.9565,17.5439
8,52.5839,85.8696,19.2982
9,52.5839,85.8696,19.2982
10,52.5839,85.8696,19.2982
11,52.5839,85.8696,19.2982
12,52.5839,85.8696,19.2982
13,53.1274,86.9565,19.2982
14,53.1274,86.9565,19.2982
