n_it,%agr,%clas,%red
1,51.5152,86.3636,16.6667
2,52.3485,86.3636,18.3333
3,52.3485,86.3636,18.3333
4,53.1818,86.3636,20
5,54.0152,86.3636,21.6667
6,54.0152,86.3636,21.6667
7,54.0152,86.3636,21.6667
8,54.0152,86.3636,21.6667
9,54.0152,86.3636,21.6667
10,54.5454,84.0909,25
11,54.5454,84.0909,25
12,54.8485,86.3636,23.3333
13,56.8182,88.6364,25
14,56.8182,88.6364,25
