n_cooling,%agr,%clas,%red
0,58.5772,80.4878,36.6667
1,61.8496,85.3659,38.3333
2,68.9024,87.8049,50
3,68.9024,87.8049,50
4,68.9024,87.8049,50
5,68.9024,87.8049,50
6,68.9024,87.8049,50
7,69.7358,87.8049,51.6667
8,69.7358,87.8049,51.6667
9,69.7358,87.8049,51.6667
10,69.7358,87.8049,51.6667
11,69.7358,87.8049,51.6667
12,69.7358,87.8049,51.6667
13,69.7358,87.8049,51.6667
14,69.7358,87.8049,51.6667
15,69.7358,87.8049,51.6667
16,69.7358,87.8049,51.6667
17,69.7358,87.8049,51.6667
18,69.7358,87.8049,51.6667
19,69.7358,87.8049,51.6667
20,69.7358,87.8049,51.6667
21,69.7358,87.8049,51.6667
22,69.7358,87.8049,51.6667
23,69.7358,87.8049,51.6667
24,70.5691,87.8049,53.3333
25,71.3415,92.6829,50
26,71.3415,92.6829,50
27,71.3415,92.6829,50
28,71.3415,92.6829,50
29,71.3415,92.6829,50
30,71.3415,92.6829,50
31,72.1748,92.6829,51.6667
32,72.1748,92.6829,51.6667
33,72.1748,92.6829,51.6667
34,72.1748,92.6829,51.6667
35,72.1748,92.6829,51.6667
36,72.1748,92.6829,51.6667
37,72.1748,92.6829,51.6667
38,72.1748,92.6829,51.6667
39,72.1748,92.6829,51.6667
40,72.1748,92.6829,51.6667
41,72.1748,92.6829,51.6667
42,72.1748,92.6829,51.6667
43,72.1748,92.6829,51.6667
44,72.1748,92.6829,51.6667
45,72.1748,92.6829,51.6667
46,72.1748,92.6829,51.6667
47,72.1748,92.6829,51.6667
48,72.1748,92.6829,51.6667
49,72.1748,92.6829,51.6667
50,72.1748,92.6829,51.6667
51,72.1748,92.6829,51.6667
52,72.1748,92.6829,51.6667
53,72.1748,92.6829,51.6667
54,72.1748,92.6829,51.6667
55,72.1748,92.6829,51.6667
56,72.1748,92.6829,51.6667
57,72.1748,92.6829,51.6667
58,72.1748,92.6829,51.6667
59,72.1748,92.6829,51.6667
60,72.1748,92.6829,51.6667
61,72.1748,92.6829,51.6667
62,72.1748,92.6829,51.6667
63,72.1748,92.6829,51.6667
64,72.1748,92.6829,51.6667
65,72.1748,92.6829,51.6667
66,72.1748,92.6829,51.6667
67,72.1748,92.6829,51.6667
68,76.4024,87.8049,65
69,76.4024,87.8049,65
70,76.4024,87.8049,65
71,76.4024,87.8049,65
72,76.4024,87.8049,65
73,76.4024,87.8049,65
74,76.4024,87.8049,65
75,76.4024,87.8049,65
76,76.4024,87.8049,65
77,76.4024,87.8049,65
78,76.4024,87.8049,65
79,76.4024,87.8049,65
80,76.4024,87.8049,65
81,76.4024,87.8049,65
82,76.4024,87.8049,65
83,76.4024,87.8049,65
84,76.4024,87.8049,65
85,76.4024,87.8049,65
86,76.4024,87.8049,65
87,76.4024,87.8049,65
88,76.4024,87.8049,65
89,76.4024,87.8049,65
90,76.4024,87.8049,65
91,76.4024,87.8049,65
92,76.4024,87.8049,65
93,76.4024,87.8049,65
94,76.4024,87.8049,65
95,76.4024,87.8049,65
96,76.4024,87.8049,65
97,76.4024,87.8049,65
98,76.4024,87.8049,65
99,76.4024,87.8049,65
100,76.4024,87.8049,65
101,76.4024,87.8049,65
102,76.4024,87.8049,65
103,76.4024,87.8049,65
104,76.4024,87.8049,65
105,76.4024,87.8049,65
106,76.4024,87.8049,65
107,76.4024,87.8049,65
108,76.4024,87.8049,65
109,76.4024,87.8049,65
110,76.4024,87.8049,65
111,76.4024,87.8049,65
112,76.4024,87.8049,65
113,76.4024,87.8049,65
114,76.4024,87.8049,65
115,76.4024,87.8049,65
116,76.4024,87.8049,65
117,76.4024,87.8049,65
118,76.4024,87.8049,65
119,76.4024,87.8049,65
120,76.4024,87.8049,65
121,76.4024,87.8049,65
122,76.4024,87.8049,65
123,76.4024,87.8049,65
124,76.4024,87.8049,65
125,76.4024,87.8049,65
126,76.4024,87.8049,65
127,76.4024,87.8049,65
128,76.4024,87.8049,65
129,76.4024,87.8049,65
130,76.4024,87.8049,65
131,76.4024,87.8049,65
132,76.4024,87.8049,65
133,76.4024,87.8049,65
134,76.4024,87.8049,65
135,76.4024,87.8049,65
136,76.4024,87.8049,65
137,76.4024,87.8049,65
138,76.4024,87.8049,65
139,76.4024,87.8049,65
140,76.4024,87.8049,65
141,76.4024,87.8049,65
142,76.4024,87.8049,65
143,76.4024,87.8049,65
144,76.4024,87.8049,65
145,76.4024,87.8049,65
146,76.4024,87.8049,65
147,76.4024,87.8049,65
148,76.4024,87.8049,65
149,76.4024,87.8049,65
