n_cooling,%agr,%clas,%red
0,63.4553,90.2439,36.6667
1,67.6219,90.2439,45
2,68.0081,92.6829,43.3333
3,75.061,95.1219,55
4,75.061,95.1219,55
5,75.061,95.1219,55
6,75.061,95.1219,55
7,75.061,95.1219,55
8,75.061,95.1219,55
9,75.061,95.1219,55
10,75.061,95.1219,55
11,75.061,95.1219,55
12,75.061,95.1219,55
13,75.061,95.1219,55
14,75.061,95.1219,55
15,75.061,95.1219,55
16,75.061,95.1219,55
17,75.061,95.1219,55
18,75.061,95.1219,55
19,75.061,95.1219,55
20,75.061,95.1219,55
21,75.8943,95.1219,56.6667
22,75.8943,95.1219,56.6667
23,75.8943,95.1219,56.6667
24,75.8943,95.1219,56.6667
25,75.8943,95.1219,56.6667
26,75.8943,95.1219,56.6667
27,75.8943,95.1219,56.6667
28,75.8943,95.1219,56.6667
29,75.8943,95.1219,56.6667
30,75.8943,95.1219,56.6667
31,75.8943,95.1219,56.6667
32,75.8943,95.1219,56.6667
33,75.8943,95.1219,56.6667
34,75.8943,95.1219,56.6667
35,75.8943,95.1219,56.6667
36,75.8943,95.1219,56.6667
37,75.8943,95.1219,56.6667
38,75.8943,95.1219,56.6667
39,75.8943,95.1219,56.6667
40,75.8943,95.1219,56.6667
41,75.8943,95.1219,56.6667
42,75.8943,95.1219,56.6667
43,75.8943,95.1219,56.6667
44,75.8943,95.1219,56.6667
45,75.8943,95.1219,56.6667
46,75.8943,95.1219,56.6667
47,75.8943,95.1219,56.6667
48,75.8943,95.1219,56.6667
49,75.8943,95.1219,56.6667
50,75.8943,95.1219,56.6667
51,75.8943,95.1219,56.6667
52,75.8943,95.1219,56.6667
53,75.8943,95.1219,56.6667
54,75.8943,95.1219,56.6667
55,75.8943,95.1219,56.6667
56,75.8943,95.1219,56.6667
57,75.8943,95.1219,56.6667
58,75.8943,95.1219,56.6667
59,75.8943,95.1219,56.6667
60,75.8943,95.1219,56.6667
61,75.8943,95.1219,56.6667
62,75.8943,95.1219,56.6667
63,75.8943,95.1219,56.6667
64,75.8943,95.1219,56.6667
65,75.8943,95.1219,56.6667
66,75.8943,95.1219,56.6667
67,75.8943,95.1219,56.6667
68,75.8943,95.1219,56.6667
69,75.8943,95.1219,56.6667
70,75.8943,95.1219,56.6667
71,75.8943,95.1219,56.6667
72,75.8943,95.1219,56.6667
73,75.8943,95.1219,56.6667
74,75.8943,95.1219,56.6667
75,75.8943,95.1219,56.6667
76,75.8943,95.1219,56.6667
77,75.8943,95.1219,56.6667
78,75.8943,95.1219,56.6667
79,75.8943,95.1219,56.6667
80,75.8943,95.1219,56.6667
81,75.8943,95.1219,56.6667
82,75.8943,95.1219,56.6667
83,75.8943,95.1219,56.6667
84,76.4024,87.8049,65
85,80.1219,90.2439,70
86,80.5691,87.8049,73.3333
87,80.5691,87.8049,73.3333
88,80.5691,87.8049,73.3333
89,80.5691,87.8049,73.3333
90,80.5691,87.8049,73.3333
91,80.5691,87.8049,73.3333
92,80.5691,87.8049,73.3333
93,80.5691,87.8049,73.3333
94,80.5691,87.8049,73.3333
95,80.5691,87.8049,73.3333
96,80.5691,87.8049,73.3333
97,80.5691,87.8049,73.3333
98,80.5691,87.8049,73.3333
99,80.5691,87.8049,73.3333
100,80.5691,87.8049,73.3333
101,80.5691,87.8049,73.3333
102,80.5691,87.8049,73.3333
103,80.5691,87.8049,73.3333
104,80.5691,87.8049,73.3333
105,80.5691,87.8049,73.3333
106,80.5691,87.8049,73.3333
107,80.5691,87.8049,73.3333
108,80.5691,87.8049,73.3333
109,80.5691,87.8049,73.3333
110,80.5691,87.8049,73.3333
111,80.5691,87.8049,73.3333
112,80.5691,87.8049,73.3333
113,80.5691,87.8049,73.3333
114,80.5691,87.8049,73.3333
115,80.5691,87.8049,73.3333
116,80.5691,87.8049,73.3333
117,80.5691,87.8049,73.3333
118,80.5691,87.8049,73.3333
119,80.5691,87.8049,73.3333
120,80.5691,87.8049,73.3333
121,80.5691,87.8049,73.3333
122,80.5691,87.8049,73.3333
123,80.5691,87.8049,73.3333
124,80.5691,87.8049,73.3333
125,80.5691,87.8049,73.3333
126,80.5691,87.8049,73.3333
127,80.5691,87.8049,73.3333
128,80.5691,87.8049,73.3333
129,80.5691,87.8049,73.3333
130,80.5691,87.8049,73.3333
131,80.5691,87.8049,73.3333
132,80.5691,87.8049,73.3333
133,80.5691,87.8049,73.3333
134,80.5691,87.8049,73.3333
135,80.5691,87.8049,73.3333
136,80.5691,87.8049,73.3333
137,80.5691,87.8049,73.3333
138,80.5691,87.8049,73.3333
139,80.5691,87.8049,73.3333
140,80.5691,87.8049,73.3333
141,80.5691,87.8049,73.3333
142,80.5691,87.8049,73.3333
143,80.5691,87.8049,73.3333
144,80.5691,87.8049,73.3333
145,80.5691,87.8049,73.3333
