n_cooling,%agr,%clas,%red
0,60.5081,92.6829,28.3333
1,64.2276,95.1219,33.3333
2,69.2886,90.2439,48.3333
3,69.2886,90.2439,48.3333
4,69.2886,90.2439,48.3333
5,69.2886,90.2439,48.3333
6,69.2886,90.2439,48.3333
7,69.2886,90.2439,48.3333
8,69.2886,90.2439,48.3333
9,71.3415,92.6829,50
10,72.1748,92.6829,51.6667
11,72.1748,92.6829,51.6667
12,72.1748,92.6829,51.6667
13,72.1748,92.6829,51.6667
14,72.1748,92.6829,51.6667
15,73.0081,92.6829,53.3333
16,73.0081,92.6829,53.3333
17,73.0081,92.6829,53.3333
18,73.0081,92.6829,53.3333
19,73.0081,92.6829,53.3333
20,73.0081,92.6829,53.3333
21,73.0081,92.6829,53.3333
22,73.0081,92.6829,53.3333
23,73.0081,92.6829,53.3333
24,73.0081,92.6829,53.3333
25,73.0081,92.6829,53.3333
26,73.0081,92.6829,53.3333
27,73.0081,92.6829,53.3333
28,73.0081,92.6829,53.3333
29,73.0081,92.6829,53.3333
30,73.0081,92.6829,53.3333
31,73.0081,92.6829,53.3333
32,73.0081,92.6829,53.3333
33,74.2886,90.2439,58.3333
34,74.2886,90.2439,58.3333
35,74.2886,90.2439,58.3333
36,75.1829,85.3659,65
37,75.1829,85.3659,65
38,75.1829,85.3659,65
39,75.1829,85.3659,65
40,75.1829,85.3659,65
41,75.1829,85.3659,65
42,75.1829,85.3659,65
43,75.1829,85.3659,65
44,75.1829,85.3659,65
45,75.1829,85.3659,65
46,75.1829,85.3659,65
47,75.1829,85.3659,65
48,75.1829,85.3659,65
49,75.1829,85.3659,65
50,75.1829,85.3659,65
51,75.1829,85.3659,65
52,75.1829,85.3659,65
53,75.1829,85.3659,65
54,75.1829,85.3659,65
55,75.1829,85.3659,65
56,75.1829,85.3659,65
57,75.1829,85.3659,65
58,75.1829,85.3659,65
59,75.1829,85.3659,65
60,75.1829,85.3659,65
61,75.1829,85.3659,65
62,75.1829,85.3659,65
63,75.1829,85.3659,65
64,75.1829,85.3659,65
65,75.1829,85.3659,65
66,75.1829,85.3659,65
67,75.1829,85.3659,65
68,75.1829,85.3659,65
69,75.1829,85.3659,65
70,75.1829,85.3659,65
71,75.1829,85.3659,65
72,75.1829,85.3659,65
73,75.1829,85.3659,65
74,75.1829,85.3659,65
75,75.1829,85.3659,65
76,75.1829,85.3659,65
77,75.1829,85.3659,65
78,75.1829,85.3659,65
79,75.1829,85.3659,65
80,75.1829,85.3659,65
81,75.1829,85.3659,65
82,75.1829,85.3659,65
83,75.1829,85.3659,65
84,75.1829,85.3659,65
85,75.1829,85.3659,65
86,75.1829,85.3659,65
87,75.1829,85.3659,65
88,75.1829,85.3659,65
89,75.1829,85.3659,65
90,75.1829,85.3659,65
91,75.1829,85.3659,65
92,75.1829,85.3659,65
93,75.1829,85.3659,65
94,75.1829,85.3659,65
95,75.1829,85.3659,65
96,75.1829,85.3659,65
97,75.1829,85.3659,65
98,75.1829,85.3659,65
99,75.1829,85.3659,65
100,75.1829,85.3659,65
101,75.1829,85.3659,65
102,75.1829,85.3659,65
103,78.3943,95.1219,61.6667
104,80.5691,87.8049,73.3333
105,80.5691,87.8049,73.3333
106,80.5691,87.8049,73.3333
107,80.5691,87.8049,73.3333
108,80.5691,87.8049,73.3333
109,80.5691,87.8049,73.3333
110,80.5691,87.8049,73.3333
111,80.5691,87.8049,73.3333
112,80.5691,87.8049,73.3333
113,80.5691,87.8049,73.3333
114,80.5691,87.8049,73.3333
115,80.5691,87.8049,73.3333
116,80.5691,87.8049,73.3333
117,80.5691,87.8049,73.3333
118,80.5691,87.8049,73.3333
119,80.5691,87.8049,73.3333
120,80.5691,87.8049,73.3333
121,85.5081,92.6829,78.3333
122,85.5081,92.6829,78.3333
123,85.5081,92.6829,78.3333
124,85.5081,92.6829,78.3333
125,85.5081,92.6829,78.3333
126,85.5081,92.6829,78.3333
127,85.5081,92.6829,78.3333
128,85.5081,92.6829,78.3333
129,85.5081,92.6829,78.3333
130,85.5081,92.6829,78.3333
131,85.5081,92.6829,78.3333
132,85.5081,92.6829,78.3333
133,85.5081,92.6829,78.3333
134,85.5081,92.6829,78.3333
135,85.5081,92.6829,78.3333
136,85.5081,92.6829,78.3333
137,85.5081,92.6829,78.3333
138,85.5081,92.6829,78.3333
139,85.5081,92.6829,78.3333
140,85.5081,92.6829,78.3333
141,85.5081,92.6829,78.3333
142,85.5081,92.6829,78.3333
143,85.5081,92.6829,78.3333
144,85.5081,92.6829,78.3333
145,85.5081,92.6829,78.3333
