n_it,%agr,%clas,%red
1,46.1382,75.6098,16.6667
2,46.1382,75.6098,16.6667
3,48.1911,78.0488,18.3333
4,48.1911,78.0488,18.3333
5,48.1911,78.0488,18.3333
6,49.0244,78.0488,20
7,49.0244,78.0488,20
8,49.0244,78.0488,20
9,49.0244,78.0488,20
10,50.6911,78.0488,23.3333
11,50.6911,78.0488,23.3333
12,50.6911,78.0488,23.3333
13,50.752,73.1707,28.3333
14,50.752,73.1707,28.3333
