n_gen,%agr,%clas,%red
0,55.5081,92.6829,18.3333
1,55.5081,92.6829,18.3333
2,55.5081,92.6829,18.3333
3,55.5081,92.6829,18.3333
4,55.5081,92.6829,18.3333
5,55.5081,92.6829,18.3333
6,55.5081,92.6829,18.3333
7,55.5081,92.6829,18.3333
8,55.5081,92.6829,18.3333
9,55.5081,92.6829,18.3333
10,55.8943,95.1219,16.6667
11,55.8943,95.1219,16.6667
12,55.8943,95.1219,16.6667
13,55.8943,95.1219,16.6667
14,55.8943,95.1219,16.6667
15,55.8943,95.1219,16.6667
16,55.8943,95.1219,16.6667
17,55.8943,95.1219,16.6667
18,55.8943,95.1219,16.6667
19,55.8943,95.1219,16.6667
20,56.3415,92.6829,20
21,56.3415,92.6829,20
22,56.3415,92.6829,20
23,56.3415,92.6829,20
24,56.3415,92.6829,20
25,56.3415,92.6829,20
26,56.3415,92.6829,20
27,56.3415,92.6829,20
28,56.3415,92.6829,20
29,56.3415,92.6829,20
30,56.3415,92.6829,20
31,56.3415,92.6829,20
32,56.3415,92.6829,20
33,56.3415,92.6829,20
34,56.3415,92.6829,20
35,56.3415,92.6829,20
36,56.3415,92.6829,20
37,56.3415,92.6829,20
38,56.3415,92.6829,20
39,56.3415,92.6829,20
40,56.3415,92.6829,20
41,56.3415,92.6829,20
42,56.3415,92.6829,20
43,56.3415,92.6829,20
44,56.3415,92.6829,20
45,56.3415,92.6829,20
46,56.3415,92.6829,20
47,56.7276,95.1219,18.3333
48,56.7276,95.1219,18.3333
49,56.7276,95.1219,18.3333
50,58.3943,95.1219,21.6667
51,58.3943,95.1219,21.6667
52,58.3943,95.1219,21.6667
53,58.3943,95.1219,21.6667
54,58.3943,95.1219,21.6667
55,58.3943,95.1219,21.6667
56,58.3943,95.1219,21.6667
57,58.3943,95.1219,21.6667
58,58.3943,95.1219,21.6667
59,58.3943,95.1219,21.6667
60,58.3943,95.1219,21.6667
61,58.3943,95.1219,21.6667
62,58.3943,95.1219,21.6667
63,58.3943,95.1219,21.6667
64,58.3943,95.1219,21.6667
65,58.3943,95.1219,21.6667
66,58.3943,95.1219,21.6667
67,58.3943,95.1219,21.6667
68,58.3943,95.1219,21.6667
69,58.3943,95.1219,21.6667
70,58.3943,95.1219,21.6667
71,58.3943,95.1219,21.6667
72,58.3943,95.1219,21.6667
73,58.3943,95.1219,21.6667
74,58.3943,95.1219,21.6667
75,58.3943,95.1219,21.6667
76,58.3943,95.1219,21.6667
77,58.3943,95.1219,21.6667
78,58.3943,95.1219,21.6667
79,58.3943,95.1219,21.6667
80,58.3943,95.1219,21.6667
81,58.3943,95.1219,21.6667
82,58.3943,95.1219,21.6667
83,58.3943,95.1219,21.6667
84,58.3943,95.1219,21.6667
85,58.3943,95.1219,21.6667
86,58.3943,95.1219,21.6667
87,58.3943,95.1219,21.6667
88,58.3943,95.1219,21.6667
89,58.3943,95.1219,21.6667
90,58.3943,95.1219,21.6667
91,58.3943,95.1219,21.6667
92,58.3943,95.1219,21.6667
93,58.3943,95.1219,21.6667
94,58.3943,95.1219,21.6667
95,58.3943,95.1219,21.6667
96,58.3943,95.1219,21.6667
97,58.3943,95.1219,21.6667
98,58.3943,95.1219,21.6667
99,58.3943,95.1219,21.6667
100,58.3943,95.1219,21.6667
101,58.3943,95.1219,21.6667
102,58.3943,95.1219,21.6667
103,58.3943,95.1219,21.6667
104,58.3943,95.1219,21.6667
105,58.3943,95.1219,21.6667
106,58.3943,95.1219,21.6667
107,58.3943,95.1219,21.6667
108,58.3943,95.1219,21.6667
109,58.3943,95.1219,21.6667
110,58.3943,95.1219,21.6667
111,58.3943,95.1219,21.6667
112,58.3943,95.1219,21.6667
113,58.3943,95.1219,21.6667
114,58.3943,95.1219,21.6667
115,58.3943,95.1219,21.6667
116,58.3943,95.1219,21.6667
117,58.3943,95.1219,21.6667
118,58.3943,95.1219,21.6667
119,58.3943,95.1219,21.6667
120,58.3943,95.1219,21.6667
121,58.3943,95.1219,21.6667
122,58.3943,95.1219,21.6667
123,58.3943,95.1219,21.6667
124,58.3943,95.1219,21.6667
125,58.3943,95.1219,21.6667
126,58.3943,95.1219,21.6667
127,58.3943,95.1219,21.6667
128,58.3943,95.1219,21.6667
129,58.3943,95.1219,21.6667
130,58.3943,95.1219,21.6667
131,58.3943,95.1219,21.6667
132,58.3943,95.1219,21.6667
133,58.3943,95.1219,21.6667
134,58.3943,95.1219,21.6667
135,58.3943,95.1219,21.6667
136,58.3943,95.1219,21.6667
137,58.3943,95.1219,21.6667
138,58.3943,95.1219,21.6667
139,58.3943,95.1219,21.6667
140,58.3943,95.1219,21.6667
141,58.3943,95.1219,21.6667
142,58.3943,95.1219,21.6667
143,58.3943,95.1219,21.6667
144,58.3943,95.1219,21.6667
145,58.3943,95.1219,21.6667
146,58.3943,95.1219,21.6667
147,58.3943,95.1219,21.6667
148,58.3943,95.1219,21.6667
149,58.3943,95.1219,21.6667
150,58.3943,95.1219,21.6667
151,58.3943,95.1219,21.6667
152,58.3943,95.1219,21.6667
153,58.3943,95.1219,21.6667
154,58.3943,95.1219,21.6667
155,58.3943,95.1219,21.6667
156,58.3943,95.1219,21.6667
157,58.3943,95.1219,21.6667
158,58.3943,95.1219,21.6667
159,58.3943,95.1219,21.6667
160,58.3943,95.1219,21.6667
161,58.3943,95.1219,21.6667
162,58.3943,95.1219,21.6667
163,58.3943,95.1219,21.6667
164,58.3943,95.1219,21.6667
165,58.3943,95.1219,21.6667
166,58.3943,95.1219,21.6667
167,58.3943,95.1219,21.6667
168,58.3943,95.1219,21.6667
169,58.3943,95.1219,21.6667
170,58.3943,95.1219,21.6667
171,58.3943,95.1219,21.6667
172,58.3943,95.1219,21.6667
173,58.3943,95.1219,21.6667
174,58.3943,95.1219,21.6667
175,58.3943,95.1219,21.6667
176,58.3943,95.1219,21.6667
177,58.3943,95.1219,21.6667
178,58.3943,95.1219,21.6667
179,58.3943,95.1219,21.6667
180,58.3943,95.1219,21.6667
181,58.3943,95.1219,21.6667
182,58.3943,95.1219,21.6667
183,58.3943,95.1219,21.6667
184,58.3943,95.1219,21.6667
185,58.3943,95.1219,21.6667
186,58.3943,95.1219,21.6667
187,58.3943,95.1219,21.6667
188,58.3943,95.1219,21.6667
189,58.3943,95.1219,21.6667
190,58.3943,95.1219,21.6667
191,58.3943,95.1219,21.6667
192,58.3943,95.1219,21.6667
193,58.3943,95.1219,21.6667
194,58.3943,95.1219,21.6667
195,58.3943,95.1219,21.6667
196,58.3943,95.1219,21.6667
197,58.3943,95.1219,21.6667
198,58.3943,95.1219,21.6667
199,58.3943,95.1219,21.6667
200,58.3943,95.1219,21.6667
201,58.3943,95.1219,21.6667
202,58.3943,95.1219,21.6667
203,58.3943,95.1219,21.6667
204,58.3943,95.1219,21.6667
205,58.3943,95.1219,21.6667
206,58.3943,95.1219,21.6667
207,58.3943,95.1219,21.6667
208,58.3943,95.1219,21.6667
209,58.3943,95.1219,21.6667
210,58.3943,95.1219,21.6667
211,58.3943,95.1219,21.6667
212,58.3943,95.1219,21.6667
213,58.3943,95.1219,21.6667
214,58.3943,95.1219,21.6667
215,58.3943,95.1219,21.6667
216,58.3943,95.1219,21.6667
217,58.3943,95.1219,21.6667
218,58.3943,95.1219,21.6667
219,58.3943,95.1219,21.6667
220,58.3943,95.1219,21.6667
221,58.3943,95.1219,21.6667
222,58.3943,95.1219,21.6667
223,58.3943,95.1219,21.6667
224,58.3943,95.1219,21.6667
225,58.3943,95.1219,21.6667
226,58.3943,95.1219,21.6667
227,58.3943,95.1219,21.6667
228,58.3943,95.1219,21.6667
229,58.3943,95.1219,21.6667
230,58.3943,95.1219,21.6667
231,58.3943,95.1219,21.6667
232,58.3943,95.1219,21.6667
233,58.3943,95.1219,21.6667
234,58.3943,95.1219,21.6667
235,58.3943,95.1219,21.6667
236,58.3943,95.1219,21.6667
237,58.3943,95.1219,21.6667
238,58.3943,95.1219,21.6667
239,58.3943,95.1219,21.6667
240,58.3943,95.1219,21.6667
241,58.3943,95.1219,21.6667
242,58.3943,95.1219,21.6667
243,58.3943,95.1219,21.6667
244,58.3943,95.1219,21.6667
245,58.3943,95.1219,21.6667
246,58.3943,95.1219,21.6667
247,58.3943,95.1219,21.6667
248,58.3943,95.1219,21.6667
249,58.3943,95.1219,21.6667
250,58.3943,95.1219,21.6667
251,58.3943,95.1219,21.6667
252,58.3943,95.1219,21.6667
253,58.3943,95.1219,21.6667
254,58.3943,95.1219,21.6667
255,58.3943,95.1219,21.6667
256,58.3943,95.1219,21.6667
257,58.3943,95.1219,21.6667
258,58.3943,95.1219,21.6667
259,58.3943,95.1219,21.6667
260,58.3943,95.1219,21.6667
261,58.3943,95.1219,21.6667
262,58.3943,95.1219,21.6667
263,58.3943,95.1219,21.6667
264,58.3943,95.1219,21.6667
265,58.3943,95.1219,21.6667
266,58.3943,95.1219,21.6667
267,58.3943,95.1219,21.6667
268,58.3943,95.1219,21.6667
269,58.3943,95.1219,21.6667
270,58.3943,95.1219,21.6667
271,58.3943,95.1219,21.6667
272,58.3943,95.1219,21.6667
273,58.3943,95.1219,21.6667
274,58.3943,95.1219,21.6667
275,58.3943,95.1219,21.6667
276,58.3943,95.1219,21.6667
277,58.3943,95.1219,21.6667
278,58.3943,95.1219,21.6667
279,58.3943,95.1219,21.6667
280,58.3943,95.1219,21.6667
281,58.3943,95.1219,21.6667
282,58.3943,95.1219,21.6667
283,58.3943,95.1219,21.6667
284,58.3943,95.1219,21.6667
285,58.3943,95.1219,21.6667
286,58.3943,95.1219,21.6667
287,58.3943,95.1219,21.6667
288,58.3943,95.1219,21.6667
289,58.3943,95.1219,21.6667
290,58.3943,95.1219,21.6667
291,58.3943,95.1219,21.6667
292,58.3943,95.1219,21.6667
293,58.3943,95.1219,21.6667
294,58.3943,95.1219,21.6667
295,58.3943,95.1219,21.6667
296,58.3943,95.1219,21.6667
297,58.3943,95.1219,21.6667
298,58.3943,95.1219,21.6667
299,58.3943,95.1219,21.6667
300,58.3943,95.1219,21.6667
301,58.3943,95.1219,21.6667
302,58.3943,95.1219,21.6667
303,58.3943,95.1219,21.6667
304,58.3943,95.1219,21.6667
305,58.3943,95.1219,21.6667
306,58.3943,95.1219,21.6667
307,58.3943,95.1219,21.6667
308,58.3943,95.1219,21.6667
309,58.3943,95.1219,21.6667
310,58.3943,95.1219,21.6667
311,58.3943,95.1219,21.6667
312,58.3943,95.1219,21.6667
313,58.3943,95.1219,21.6667
314,58.3943,95.1219,21.6667
315,58.3943,95.1219,21.6667
316,58.3943,95.1219,21.6667
317,58.3943,95.1219,21.6667
318,58.3943,95.1219,21.6667
319,58.3943,95.1219,21.6667
320,58.3943,95.1219,21.6667
321,58.3943,95.1219,21.6667
322,58.3943,95.1219,21.6667
323,58.3943,95.1219,21.6667
324,58.3943,95.1219,21.6667
325,58.3943,95.1219,21.6667
326,58.3943,95.1219,21.6667
327,58.3943,95.1219,21.6667
328,58.3943,95.1219,21.6667
329,58.3943,95.1219,21.6667
330,58.3943,95.1219,21.6667
331,58.3943,95.1219,21.6667
332,58.3943,95.1219,21.6667
333,58.3943,95.1219,21.6667
334,58.3943,95.1219,21.6667
335,58.3943,95.1219,21.6667
336,58.3943,95.1219,21.6667
337,58.3943,95.1219,21.6667
338,58.3943,95.1219,21.6667
339,58.3943,95.1219,21.6667
340,58.3943,95.1219,21.6667
341,58.3943,95.1219,21.6667
342,58.3943,95.1219,21.6667
343,58.3943,95.1219,21.6667
344,58.3943,95.1219,21.6667
345,58.3943,95.1219,21.6667
346,58.3943,95.1219,21.6667
347,58.3943,95.1219,21.6667
348,58.3943,95.1219,21.6667
349,58.3943,95.1219,21.6667
350,58.3943,95.1219,21.6667
351,58.3943,95.1219,21.6667
352,58.3943,95.1219,21.6667
353,58.3943,95.1219,21.6667
354,58.3943,95.1219,21.6667
355,58.3943,95.1219,21.6667
356,58.3943,95.1219,21.6667
357,58.3943,95.1219,21.6667
358,58.3943,95.1219,21.6667
359,58.3943,95.1219,21.6667
360,58.3943,95.1219,21.6667
361,58.3943,95.1219,21.6667
362,58.3943,95.1219,21.6667
363,58.3943,95.1219,21.6667
364,58.3943,95.1219,21.6667
365,58.3943,95.1219,21.6667
366,58.3943,95.1219,21.6667
367,58.3943,95.1219,21.6667
368,58.3943,95.1219,21.6667
369,58.3943,95.1219,21.6667
370,58.3943,95.1219,21.6667
371,58.3943,95.1219,21.6667
372,58.3943,95.1219,21.6667
373,58.3943,95.1219,21.6667
374,58.3943,95.1219,21.6667
375,58.3943,95.1219,21.6667
376,58.3943,95.1219,21.6667
377,58.3943,95.1219,21.6667
378,58.3943,95.1219,21.6667
379,58.3943,95.1219,21.6667
380,58.3943,95.1219,21.6667
381,58.3943,95.1219,21.6667
382,58.3943,95.1219,21.6667
383,58.3943,95.1219,21.6667
384,58.3943,95.1219,21.6667
385,58.3943,95.1219,21.6667
386,58.3943,95.1219,21.6667
387,58.3943,95.1219,21.6667
388,58.3943,95.1219,21.6667
389,58.3943,95.1219,21.6667
390,58.3943,95.1219,21.6667
391,58.3943,95.1219,21.6667
392,58.3943,95.1219,21.6667
393,58.3943,95.1219,21.6667
394,58.3943,95.1219,21.6667
395,58.3943,95.1219,21.6667
396,58.3943,95.1219,21.6667
397,58.3943,95.1219,21.6667
398,58.3943,95.1219,21.6667
399,58.3943,95.1219,21.6667
400,58.3943,95.1219,21.6667
401,58.3943,95.1219,21.6667
402,58.3943,95.1219,21.6667
403,58.3943,95.1219,21.6667
404,58.3943,95.1219,21.6667
405,58.3943,95.1219,21.6667
406,58.3943,95.1219,21.6667
407,58.3943,95.1219,21.6667
408,58.3943,95.1219,21.6667
409,58.3943,95.1219,21.6667
410,58.3943,95.1219,21.6667
411,58.3943,95.1219,21.6667
412,58.3943,95.1219,21.6667
413,58.3943,95.1219,21.6667
414,58.3943,95.1219,21.6667
415,58.3943,95.1219,21.6667
416,58.3943,95.1219,21.6667
417,58.3943,95.1219,21.6667
418,58.3943,95.1219,21.6667
419,58.3943,95.1219,21.6667
420,58.3943,95.1219,21.6667
421,58.3943,95.1219,21.6667
422,58.3943,95.1219,21.6667
423,58.3943,95.1219,21.6667
424,58.3943,95.1219,21.6667
425,58.3943,95.1219,21.6667
426,58.3943,95.1219,21.6667
427,58.3943,95.1219,21.6667
428,58.3943,95.1219,21.6667
429,58.3943,95.1219,21.6667
430,58.3943,95.1219,21.6667
431,58.3943,95.1219,21.6667
432,58.3943,95.1219,21.6667
433,58.3943,95.1219,21.6667
434,58.3943,95.1219,21.6667
435,58.3943,95.1219,21.6667
436,58.3943,95.1219,21.6667
437,58.3943,95.1219,21.6667
438,58.3943,95.1219,21.6667
439,58.3943,95.1219,21.6667
440,58.3943,95.1219,21.6667
441,58.3943,95.1219,21.6667
442,58.3943,95.1219,21.6667
443,58.3943,95.1219,21.6667
444,58.3943,95.1219,21.6667
445,58.3943,95.1219,21.6667
446,58.3943,95.1219,21.6667
447,58.3943,95.1219,21.6667
448,58.3943,95.1219,21.6667
449,58.3943,95.1219,21.6667
450,58.3943,95.1219,21.6667
451,58.3943,95.1219,21.6667
452,58.3943,95.1219,21.6667
453,58.3943,95.1219,21.6667
454,58.3943,95.1219,21.6667
455,58.3943,95.1219,21.6667
456,58.3943,95.1219,21.6667
457,58.3943,95.1219,21.6667
458,58.3943,95.1219,21.6667
459,58.3943,95.1219,21.6667
460,58.3943,95.1219,21.6667
461,58.3943,95.1219,21.6667
462,58.3943,95.1219,21.6667
463,58.3943,95.1219,21.6667
464,58.3943,95.1219,21.6667
465,58.3943,95.1219,21.6667
466,58.3943,95.1219,21.6667
467,58.3943,95.1219,21.6667
468,58.3943,95.1219,21.6667
469,58.3943,95.1219,21.6667
470,58.3943,95.1219,21.6667
471,58.3943,95.1219,21.6667
472,58.3943,95.1219,21.6667
473,58.3943,95.1219,21.6667
474,58.3943,95.1219,21.6667
475,58.3943,95.1219,21.6667
476,58.3943,95.1219,21.6667
477,58.3943,95.1219,21.6667
478,58.3943,95.1219,21.6667
479,58.3943,95.1219,21.6667
480,58.3943,95.1219,21.6667
481,58.3943,95.1219,21.6667
482,58.3943,95.1219,21.6667
483,58.3943,95.1219,21.6667
484,58.3943,95.1219,21.6667
485,58.3943,95.1219,21.6667
486,58.3943,95.1219,21.6667
487,58.3943,95.1219,21.6667
488,58.3943,95.1219,21.6667
489,58.3943,95.1219,21.6667
490,58.3943,95.1219,21.6667
491,58.3943,95.1219,21.6667
492,58.3943,95.1219,21.6667
493,58.3943,95.1219,21.6667
494,58.3943,95.1219,21.6667
495,58.3943,95.1219,21.6667
496,58.3943,95.1219,21.6667
497,58.3943,95.1219,21.6667
498,58.3943,95.1219,21.6667
499,58.3943,95.1219,21.6667
500,58.3943,95.1219,21.6667
501,58.3943,95.1219,21.6667
502,58.3943,95.1219,21.6667
503,58.3943,95.1219,21.6667
504,58.3943,95.1219,21.6667
505,58.3943,95.1219,21.6667
506,58.3943,95.1219,21.6667
507,58.3943,95.1219,21.6667
508,58.3943,95.1219,21.6667
509,58.3943,95.1219,21.6667
510,58.3943,95.1219,21.6667
511,58.3943,95.1219,21.6667
512,58.3943,95.1219,21.6667
513,58.3943,95.1219,21.6667
514,58.3943,95.1219,21.6667
515,58.3943,95.1219,21.6667
516,58.3943,95.1219,21.6667
517,58.3943,95.1219,21.6667
518,58.3943,95.1219,21.6667
519,58.3943,95.1219,21.6667
520,58.3943,95.1219,21.6667
521,58.3943,95.1219,21.6667
522,58.3943,95.1219,21.6667
523,58.3943,95.1219,21.6667
524,58.3943,95.1219,21.6667
525,58.3943,95.1219,21.6667
526,58.3943,95.1219,21.6667
527,58.3943,95.1219,21.6667
528,58.3943,95.1219,21.6667
529,58.3943,95.1219,21.6667
530,58.3943,95.1219,21.6667
531,58.3943,95.1219,21.6667
532,58.3943,95.1219,21.6667
533,58.3943,95.1219,21.6667
534,58.3943,95.1219,21.6667
535,58.3943,95.1219,21.6667
536,58.3943,95.1219,21.6667
537,58.3943,95.1219,21.6667
538,58.3943,95.1219,21.6667
539,58.3943,95.1219,21.6667
540,58.3943,95.1219,21.6667
541,58.3943,95.1219,21.6667
542,58.3943,95.1219,21.6667
543,58.3943,95.1219,21.6667
544,58.3943,95.1219,21.6667
545,58.3943,95.1219,21.6667
546,58.3943,95.1219,21.6667
547,58.3943,95.1219,21.6667
548,58.3943,95.1219,21.6667
549,58.3943,95.1219,21.6667
550,58.3943,95.1219,21.6667
551,58.3943,95.1219,21.6667
552,58.3943,95.1219,21.6667
553,58.3943,95.1219,21.6667
554,58.3943,95.1219,21.6667
555,58.3943,95.1219,21.6667
556,58.3943,95.1219,21.6667
557,58.3943,95.1219,21.6667
558,58.3943,95.1219,21.6667
559,58.3943,95.1219,21.6667
560,58.3943,95.1219,21.6667
