n_it,%agr,%clas,%red
1,58.8415,92.6829,25
2,58.8415,92.6829,25
3,64.2276,95.1219,33.3333
4,65.8943,95.1219,36.6667
5,66.7276,95.1219,38.3333
6,66.7276,95.1219,38.3333
7,70.1219,90.2439,50
8,70.1219,90.2439,50
9,70.1219,90.2439,50
10,75.1829,85.3659,65
11,76.8496,85.3659,68.3333
12,78.0691,87.8049,68.3333
13,79.2886,90.2439,68.3333
14,79.2886,90.2439,68.3333
