n_it,%agr,%clas,%red
1,53.0691,87.8049,18.3333
2,53.0691,87.8049,18.3333
3,60.5691,87.8049,33.3333
4,60.5691,87.8049,33.3333
5,64.7358,87.8049,41.6667
6,67.2358,87.8049,46.6667
7,67.2358,87.8049,46.6667
8,76.3415,92.6829,60
9,76.3415,92.6829,60
10,82.6219,90.2439,75
11,83.0081,92.6829,73.3333
12,83.0081,92.6829,73.3333
13,83.9634,82.9268,85
14,83.9634,82.9268,85
