n_it,%agr,%clas,%red
1,50.122,90.2439,10
2,50.122,90.2439,10
3,51.3415,92.6829,10
4,52.1748,92.6829,11.6667
5,53.0081,92.6829,13.3333
6,53.8415,92.6829,15
7,55.5081,92.6829,18.3333
8,56.3415,92.6829,20
9,56.3415,92.6829,20
10,56.3415,92.6829,20
11,56.3415,92.6829,20
12,56.3415,92.6829,20
13,56.3415,92.6829,20
14,58.0081,92.6829,23.3333
