n_it,%agr,%clas,%red
1,47.6829,85.3659,10
2,47.6829,85.3659,10
3,54.3496,85.3659,23.3333
4,56.8496,85.3659,28.3333
5,56.8496,85.3659,28.3333
6,61.4634,82.9268,40
7,63.5163,85.3659,41.6667
8,63.9024,87.8049,40
9,63.9024,87.8049,40
10,68.5772,80.4878,56.6667
11,69.3496,85.3659,53.3333
12,69.3496,85.3659,53.3333
13,75.1829,85.3659,65
14,75.1829,85.3659,65
