n_it,%agr,%clas,%red
1,47.2967,82.9268,11.6667
2,47.2967,82.9268,11.6667
3,53.5772,80.4878,26.6667
4,53.5772,80.4878,26.6667
5,59.7967,82.9268,36.6667
6,60.2439,80.4878,40
7,60.2439,80.4878,40
8,65.6911,78.0488,53.3333
9,69.7967,82.9268,56.6667
10,69.7967,82.9268,56.6667
11,72.2968,82.9268,61.6667
12,72.2968,82.9268,61.6667
13,82.6829,85.3659,80
14,83.9024,87.8049,80
