n_cooling,%agr,%clas,%red
0,68.5693,93.8053,43.3333
1,73.9086,91.1504,56.6667
2,73.9086,91.1504,56.6667
3,73.9086,91.1504,56.6667
4,73.9086,91.1504,56.6667
5,75.236,93.8053,56.6667
6,78.1268,92.9203,63.3333
7,80.236,93.8053,66.6667
8,81.5634,96.4602,66.6667
9,81.5634,96.4602,66.6667
10,81.5634,96.4602,66.6667
11,81.5634,96.4602,66.6667
12,81.5634,96.4602,66.6667
13,81.5634,96.4602,66.6667
14,81.5634,96.4602,66.6667
15,81.5634,96.4602,66.6667
16,81.5634,96.4602,66.6667
17,81.5634,96.4602,66.6667
18,81.5634,96.4602,66.6667
19,81.5634,96.4602,66.6667
20,81.5634,96.4602,66.6667
21,81.5634,96.4602,66.6667
22,81.5634,96.4602,66.6667
23,85.6785,94.6903,76.6667
24,85.6785,94.6903,76.6667
25,85.6785,94.6903,76.6667
26,85.6785,94.6903,76.6667
27,85.6785,94.6903,76.6667
28,85.6785,94.6903,76.6667
29,85.6785,94.6903,76.6667
30,85.6785,94.6903,76.6667
31,85.6785,94.6903,76.6667
32,85.6785,94.6903,76.6667
33,85.6785,94.6903,76.6667
34,85.6785,94.6903,76.6667
35,85.6785,94.6903,76.6667
36,85.6785,94.6903,76.6667
37,85.6785,94.6903,76.6667
38,85.6785,94.6903,76.6667
39,85.6785,94.6903,76.6667
40,85.6785,94.6903,76.6667
41,85.6785,94.6903,76.6667
42,85.6785,94.6903,76.6667
43,85.6785,94.6903,76.6667
44,85.6785,94.6903,76.6667
45,85.6785,94.6903,76.6667
46,85.6785,94.6903,76.6667
47,85.6785,94.6903,76.6667
48,85.6785,94.6903,76.6667
49,85.6785,94.6903,76.6667
50,85.6785,94.6903,76.6667
51,85.6785,94.6903,76.6667
52,85.6785,94.6903,76.6667
53,85.6785,94.6903,76.6667
54,85.6785,94.6903,76.6667
55,85.6785,94.6903,76.6667
56,85.6785,94.6903,76.6667
57,85.6785,94.6903,76.6667
58,85.6785,94.6903,76.6667
59,85.6785,94.6903,76.6667
60,85.6785,94.6903,76.6667
61,85.6785,94.6903,76.6667
62,85.6785,94.6903,76.6667
63,85.6785,94.6903,76.6667
64,85.6785,94.6903,76.6667
65,85.6785,94.6903,76.6667
66,85.6785,94.6903,76.6667
67,85.6785,94.6903,76.6667
68,85.6785,94.6903,76.6667
69,85.6785,94.6903,76.6667
70,85.6785,94.6903,76.6667
71,85.6785,94.6903,76.6667
72,85.6785,94.6903,76.6667
73,85.6785,94.6903,76.6667
74,85.6785,94.6903,76.6667
75,85.6785,94.6903,76.6667
76,85.6785,94.6903,76.6667
77,85.6785,94.6903,76.6667
78,85.6785,94.6903,76.6667
79,85.6785,94.6903,76.6667
80,85.6785,94.6903,76.6667
81,85.6785,94.6903,76.6667
82,85.6785,94.6903,76.6667
83,85.6785,94.6903,76.6667
84,85.6785,94.6903,76.6667
85,85.6785,94.6903,76.6667
86,85.6785,94.6903,76.6667
87,85.6785,94.6903,76.6667
88,85.6785,94.6903,76.6667
89,85.6785,94.6903,76.6667
90,85.6785,94.6903,76.6667
91,85.6785,94.6903,76.6667
92,85.6785,94.6903,76.6667
93,85.6785,94.6903,76.6667
94,85.6785,94.6903,76.6667
95,85.6785,94.6903,76.6667
96,85.6785,94.6903,76.6667
97,85.6785,94.6903,76.6667
98,85.6785,94.6903,76.6667
99,85.6785,94.6903,76.6667
100,85.6785,94.6903,76.6667
101,85.6785,94.6903,76.6667
102,85.6785,94.6903,76.6667
103,85.6785,94.6903,76.6667
104,85.6785,94.6903,76.6667
105,85.6785,94.6903,76.6667
106,85.6785,94.6903,76.6667
107,85.6785,94.6903,76.6667
108,85.6785,94.6903,76.6667
109,85.6785,94.6903,76.6667
110,85.6785,94.6903,76.6667
111,85.6785,94.6903,76.6667
112,85.6785,94.6903,76.6667
113,85.6785,94.6903,76.6667
114,85.6785,94.6903,76.6667
115,85.6785,94.6903,76.6667
116,85.6785,94.6903,76.6667
117,85.6785,94.6903,76.6667
118,85.6785,94.6903,76.6667
119,85.6785,94.6903,76.6667
120,85.6785,94.6903,76.6667
121,85.6785,94.6903,76.6667
122,85.6785,94.6903,76.6667
123,85.6785,94.6903,76.6667
124,85.6785,94.6903,76.6667
125,85.6785,94.6903,76.6667
126,85.6785,94.6903,76.6667
127,86.1209,95.5752,76.6667
128,86.1209,95.5752,76.6667
129,86.1209,95.5752,76.6667
130,86.1209,95.5752,76.6667
131,86.1209,95.5752,76.6667
132,86.1209,95.5752,76.6667
133,86.1209,95.5752,76.6667
134,86.1209,95.5752,76.6667
135,86.1209,95.5752,76.6667
136,86.1209,95.5752,76.6667
137,86.1209,95.5752,76.6667
138,86.1209,95.5752,76.6667
139,86.1209,95.5752,76.6667
140,86.1209,95.5752,76.6667
141,86.1209,95.5752,76.6667
142,86.1209,95.5752,76.6667
143,86.1209,95.5752,76.6667
144,86.1209,95.5752,76.6667
145,86.1209,95.5752,76.6667
146,86.1209,95.5752,76.6667
147,86.1209,95.5752,76.6667
148,86.1209,95.5752,76.6667
149,86.1209,95.5752,76.6667
150,86.1209,95.5752,76.6667
151,86.1209,95.5752,76.6667
152,86.1209,95.5752,76.6667
153,86.1209,95.5752,76.6667
154,86.1209,95.5752,76.6667
155,86.1209,95.5752,76.6667
156,86.1209,95.5752,76.6667
157,86.1209,95.5752,76.6667
158,86.1209,95.5752,76.6667
159,86.1209,95.5752,76.6667
160,86.1209,95.5752,76.6667
161,86.1209,95.5752,76.6667
162,86.1209,95.5752,76.6667
163,86.1209,95.5752,76.6667
164,86.1209,95.5752,76.6667
165,86.1209,95.5752,76.6667
166,86.1209,95.5752,76.6667
167,86.1209,95.5752,76.6667
168,86.1209,95.5752,76.6667
169,86.1209,95.5752,76.6667
170,86.1209,95.5752,76.6667
171,86.1209,95.5752,76.6667
172,86.1209,95.5752,76.6667
173,86.1209,95.5752,76.6667
174,86.1209,95.5752,76.6667
175,86.1209,95.5752,76.6667
176,86.1209,95.5752,76.6667
177,86.1209,95.5752,76.6667
178,86.1209,95.5752,76.6667
179,86.1209,95.5752,76.6667
180,86.1209,95.5752,76.6667
181,86.1209,95.5752,76.6667
182,86.1209,95.5752,76.6667
183,86.1209,95.5752,76.6667
184,86.1209,95.5752,76.6667
185,86.1209,95.5752,76.6667
186,86.1209,95.5752,76.6667
187,86.1209,95.5752,76.6667
188,86.1209,95.5752,76.6667
189,86.1209,95.5752,76.6667
