n_it,%agr,%clas,%red
1,57.3451,94.6903,20
2,57.3451,94.6903,20
3,57.3451,94.6903,20
4,60.6785,94.6903,26.6667
5,63.5693,93.8053,33.3333
6,63.5693,93.8053,33.3333
7,65.236,93.8053,36.6667
8,65.6785,94.6903,36.6667
9,65.6785,94.6903,36.6667
10,65.6785,94.6903,36.6667
11,65.6785,94.6903,36.6667
12,67.3451,94.6903,40
13,67.3451,94.6903,40
14,67.3451,94.6903,40
