n_it,%agr,%clas,%red
1,60.3392,97.3451,23.3333
2,60.3392,97.3451,23.3333
3,62.0059,97.3451,26.6667
4,62.0059,97.3451,26.6667
5,62.0059,97.3451,26.6667
6,62.0059,97.3451,26.6667
7,62.0059,97.3451,26.6667
8,65.3392,97.3451,33.3333
9,65.3392,97.3451,33.3333
10,65.3392,97.3451,33.3333
11,65.3392,97.3451,33.3333
12,65.3392,97.3451,33.3333
13,65.3392,97.3451,33.3333
14,65.3392,97.3451,33.3333
