n_gen,%agr,%clas,%red
2,61.9027,93.8053,30
3,64.351,92.0354,36.6667
4,71.4602,92.9203,50
5,72.6844,92.0354,53.3333
6,75.6785,94.6903,56.6667
7,77.2419,91.1504,63.3333
8,77.2419,91.1504,63.3333
9,81.0177,92.0354,70
10,81.4602,92.9203,70
11,81.9027,93.8053,70
12,84.0118,94.6903,73.3333
13,84.0118,94.6903,73.3333
14,86.0177,92.0354,80
15,86.4602,92.9203,80
16,89.351,92.0354,86.6667
17,89.7935,92.9203,86.6667
18,89.7935,92.9203,86.6667
19,89.7935,92.9203,86.6667
20,91.0177,92.0354,90
21,91.0177,92.0354,90
22,91.4602,92.9203,90
23,93.5693,93.8053,93.3333
24,93.5693,93.8053,93.3333
25,93.5693,93.8053,93.3333
26,93.5693,93.8053,93.3333
27,93.5693,93.8053,93.3333
28,93.5693,93.8053,93.3333
29,93.5693,93.8053,93.3333
30,93.5693,93.8053,93.3333
31,93.5693,93.8053,93.3333
32,93.5693,93.8053,93.3333
33,93.5693,93.8053,93.3333
34,93.5693,93.8053,93.3333
35,93.5693,93.8053,93.3333
36,93.5693,93.8053,93.3333
37,93.5693,93.8053,93.3333
38,93.5693,93.8053,93.3333
39,93.5693,93.8053,93.3333
40,93.5693,93.8053,93.3333
41,93.5693,93.8053,93.3333
42,93.5693,93.8053,93.3333
43,93.5693,93.8053,93.3333
44,93.5693,93.8053,93.3333
45,93.5693,93.8053,93.3333
46,93.5693,93.8053,93.3333
47,93.5693,93.8053,93.3333
48,93.5693,93.8053,93.3333
49,93.5693,93.8053,93.3333
50,93.5693,93.8053,93.3333
51,93.5693,93.8053,93.3333
52,93.5693,93.8053,93.3333
53,93.5693,93.8053,93.3333
54,93.5693,93.8053,93.3333
55,93.5693,93.8053,93.3333
56,93.5693,93.8053,93.3333
57,93.5693,93.8053,93.3333
58,93.5693,93.8053,93.3333
59,93.5693,93.8053,93.3333
60,93.5693,93.8053,93.3333
61,93.5693,93.8053,93.3333
62,93.5693,93.8053,93.3333
63,93.5693,93.8053,93.3333
64,93.5693,93.8053,93.3333
65,93.5693,93.8053,93.3333
66,93.5693,93.8053,93.3333
67,93.5693,93.8053,93.3333
68,93.5693,93.8053,93.3333
69,93.5693,93.8053,93.3333
70,93.5693,93.8053,93.3333
71,93.5693,93.8053,93.3333
72,93.5693,93.8053,93.3333
73,93.5693,93.8053,93.3333
74,93.5693,93.8053,93.3333
75,93.5693,93.8053,93.3333
76,93.5693,93.8053,93.3333
77,93.5693,93.8053,93.3333
78,93.5693,93.8053,93.3333
79,93.5693,93.8053,93.3333
80,93.5693,93.8053,93.3333
81,93.5693,93.8053,93.3333
82,93.5693,93.8053,93.3333
83,93.5693,93.8053,93.3333
84,93.5693,93.8053,93.3333
85,93.5693,93.8053,93.3333
86,93.5693,93.8053,93.3333
87,93.5693,93.8053,93.3333
88,93.5693,93.8053,93.3333
89,93.5693,93.8053,93.3333
90,93.5693,93.8053,93.3333
91,93.5693,93.8053,93.3333
92,93.5693,93.8053,93.3333
93,93.5693,93.8053,93.3333
94,93.5693,93.8053,93.3333
95,93.5693,93.8053,93.3333
96,93.5693,93.8053,93.3333
97,93.5693,93.8053,93.3333
98,93.5693,93.8053,93.3333
99,93.5693,93.8053,93.3333
100,93.5693,93.8053,93.3333
101,93.5693,93.8053,93.3333
102,93.5693,93.8053,93.3333
103,93.5693,93.8053,93.3333
104,93.5693,93.8053,93.3333
105,93.5693,93.8053,93.3333
106,93.5693,93.8053,93.3333
107,93.5693,93.8053,93.3333
108,93.5693,93.8053,93.3333
109,93.5693,93.8053,93.3333
110,93.5693,93.8053,93.3333
111,93.5693,93.8053,93.3333
112,93.5693,93.8053,93.3333
113,93.5693,93.8053,93.3333
114,93.5693,93.8053,93.3333
115,93.5693,93.8053,93.3333
116,93.5693,93.8053,93.3333
117,93.5693,93.8053,93.3333
118,93.5693,93.8053,93.3333
119,93.5693,93.8053,93.3333
120,93.5693,93.8053,93.3333
121,93.5693,93.8053,93.3333
122,93.5693,93.8053,93.3333
123,93.5693,93.8053,93.3333
124,93.5693,93.8053,93.3333
125,93.5693,93.8053,93.3333
126,93.5693,93.8053,93.3333
127,93.5693,93.8053,93.3333
128,93.5693,93.8053,93.3333
129,93.5693,93.8053,93.3333
130,93.5693,93.8053,93.3333
131,93.5693,93.8053,93.3333
132,93.5693,93.8053,93.3333
133,93.5693,93.8053,93.3333
134,93.5693,93.8053,93.3333
135,93.5693,93.8053,93.3333
136,93.5693,93.8053,93.3333
137,93.5693,93.8053,93.3333
138,93.5693,93.8053,93.3333
139,93.5693,93.8053,93.3333
140,93.5693,93.8053,93.3333
141,93.5693,93.8053,93.3333
142,93.5693,93.8053,93.3333
143,93.5693,93.8053,93.3333
144,93.5693,93.8053,93.3333
145,93.5693,93.8053,93.3333
146,93.5693,93.8053,93.3333
147,93.5693,93.8053,93.3333
148,93.5693,93.8053,93.3333
149,93.5693,93.8053,93.3333
150,93.5693,93.8053,93.3333
151,93.5693,93.8053,93.3333
152,93.5693,93.8053,93.3333
153,93.5693,93.8053,93.3333
154,93.5693,93.8053,93.3333
155,93.5693,93.8053,93.3333
156,93.5693,93.8053,93.3333
157,93.5693,93.8053,93.3333
158,93.5693,93.8053,93.3333
159,93.5693,93.8053,93.3333
160,93.5693,93.8053,93.3333
161,93.5693,93.8053,93.3333
162,93.5693,93.8053,93.3333
163,93.5693,93.8053,93.3333
164,93.5693,93.8053,93.3333
165,93.5693,93.8053,93.3333
166,93.5693,93.8053,93.3333
167,93.5693,93.8053,93.3333
168,93.5693,93.8053,93.3333
169,93.5693,93.8053,93.3333
170,93.5693,93.8053,93.3333
171,93.5693,93.8053,93.3333
172,93.5693,93.8053,93.3333
173,93.5693,93.8053,93.3333
174,93.5693,93.8053,93.3333
175,93.5693,93.8053,93.3333
176,93.5693,93.8053,93.3333
177,93.5693,93.8053,93.3333
178,93.5693,93.8053,93.3333
179,93.5693,93.8053,93.3333
180,93.5693,93.8053,93.3333
181,93.5693,93.8053,93.3333
182,93.5693,93.8053,93.3333
183,93.5693,93.8053,93.3333
184,93.5693,93.8053,93.3333
185,93.5693,93.8053,93.3333
186,93.5693,93.8053,93.3333
187,93.5693,93.8053,93.3333
188,93.5693,93.8053,93.3333
189,93.5693,93.8053,93.3333
190,93.5693,93.8053,93.3333
191,93.5693,93.8053,93.3333
192,93.5693,93.8053,93.3333
193,93.5693,93.8053,93.3333
194,93.5693,93.8053,93.3333
