n_it,%agr,%clas,%red
1,52.4359,94.8718,10
2,61.6239,96.5812,26.6667
3,61.6239,96.5812,26.6667
4,67.8633,95.7265,40
5,67.8633,95.7265,40
6,72.8632,95.7265,50
7,72.8632,95.7265,50
8,77.0513,97.4359,56.6667
9,77.0513,97.4359,56.6667
10,80.3846,97.4359,63.3333
11,81.1966,95.7265,66.6667
12,81.1966,95.7265,66.6667
13,83.7179,97.4359,70
14,84.5299,95.7265,73.3333
