n_gen,%agr,%clas,%red
2,64.4543,95.5752,33.3333
3,64.7935,92.9203,36.6667
4,66.4602,92.9203,40
5,66.4602,92.9203,40
6,69.4543,95.5752,43.3333
7,72.7876,95.5752,50
8,72.7876,95.5752,50
9,74.0118,94.6903,53.3333
10,75.6785,94.6903,56.6667
11,76.1209,95.5752,56.6667
12,76.1209,95.5752,56.6667
13,76.1209,95.5752,56.6667
14,77.7876,95.5752,60
15,77.7876,95.5752,60
16,77.7876,95.5752,60
17,77.7876,95.5752,60
18,78.5693,93.8053,63.3333
19,79.0118,94.6903,63.3333
20,80.236,93.8053,66.6667
21,80.236,93.8053,66.6667
22,80.236,93.8053,66.6667
23,80.236,93.8053,66.6667
24,80.236,93.8053,66.6667
25,80.6785,94.6903,66.6667
26,81.4602,92.9203,70
27,81.4602,92.9203,70
28,81.9027,93.8053,70
29,83.1268,92.9203,73.3333
30,83.5693,93.8053,73.3333
31,83.5693,93.8053,73.3333
32,84.0118,94.6903,73.3333
33,84.0118,94.6903,73.3333
34,84.0118,94.6903,73.3333
35,84.0118,94.6903,73.3333
36,84.0118,94.6903,73.3333
37,84.0118,94.6903,73.3333
38,84.0118,94.6903,73.3333
39,84.0118,94.6903,73.3333
40,84.0118,94.6903,73.3333
41,84.0118,94.6903,73.3333
42,84.0118,94.6903,73.3333
43,84.0118,94.6903,73.3333
44,84.0118,94.6903,73.3333
45,84.0118,94.6903,73.3333
46,84.0118,94.6903,73.3333
47,84.0118,94.6903,73.3333
48,84.0118,94.6903,73.3333
49,84.0118,94.6903,73.3333
50,84.4543,95.5752,73.3333
51,86.1209,95.5752,76.6667
52,86.1209,95.5752,76.6667
53,86.1209,95.5752,76.6667
54,86.1209,95.5752,76.6667
55,86.1209,95.5752,76.6667
56,86.1209,95.5752,76.6667
57,86.1209,95.5752,76.6667
58,86.1209,95.5752,76.6667
59,86.1209,95.5752,76.6667
60,86.1209,95.5752,76.6667
61,86.1209,95.5752,76.6667
62,86.1209,95.5752,76.6667
63,86.5634,96.4602,76.6667
64,88.2301,96.4602,80
65,88.2301,96.4602,80
66,88.2301,96.4602,80
67,88.2301,96.4602,80
68,88.2301,96.4602,80
69,88.2301,96.4602,80
70,88.2301,96.4602,80
71,88.2301,96.4602,80
72,88.2301,96.4602,80
73,88.2301,96.4602,80
74,88.2301,96.4602,80
75,88.2301,96.4602,80
76,88.2301,96.4602,80
77,88.2301,96.4602,80
78,88.2301,96.4602,80
79,88.2301,96.4602,80
80,88.2301,96.4602,80
81,88.2301,96.4602,80
82,88.2301,96.4602,80
83,88.2301,96.4602,80
84,88.2301,96.4602,80
85,88.2301,96.4602,80
86,88.2301,96.4602,80
87,88.2301,96.4602,80
88,88.2301,96.4602,80
89,88.2301,96.4602,80
90,88.2301,96.4602,80
91,88.2301,96.4602,80
92,88.2301,96.4602,80
93,88.2301,96.4602,80
94,88.2301,96.4602,80
95,88.2301,96.4602,80
96,88.2301,96.4602,80
97,88.2301,96.4602,80
98,88.2301,96.4602,80
99,88.2301,96.4602,80
100,88.2301,96.4602,80
101,88.2301,96.4602,80
102,88.2301,96.4602,80
103,88.2301,96.4602,80
104,88.2301,96.4602,80
105,88.2301,96.4602,80
106,88.2301,96.4602,80
107,88.2301,96.4602,80
108,88.2301,96.4602,80
109,88.2301,96.4602,80
110,88.2301,96.4602,80
111,88.2301,96.4602,80
112,88.2301,96.4602,80
113,88.2301,96.4602,80
114,88.2301,96.4602,80
115,88.2301,96.4602,80
116,88.2301,96.4602,80
117,89.0118,94.6903,83.3333
118,90.236,93.8053,86.6667
119,91.4602,92.9203,90
120,91.9026,93.8053,90
121,91.9026,93.8053,90
122,91.9026,93.8053,90
123,91.9026,93.8053,90
124,91.9026,93.8053,90
125,91.9026,93.8053,90
126,91.9026,93.8053,90
127,91.9026,93.8053,90
128,92.3451,94.6903,90
129,92.3451,94.6903,90
130,92.3451,94.6903,90
131,92.3451,94.6903,90
132,92.3451,94.6903,90
133,92.3451,94.6903,90
134,92.3451,94.6903,90
135,92.3451,94.6903,90
136,92.3451,94.6903,90
137,92.3451,94.6903,90
138,92.3451,94.6903,90
139,92.3451,94.6903,90
140,92.3451,94.6903,90
141,92.3451,94.6903,90
142,92.3451,94.6903,90
143,92.3451,94.6903,90
144,92.3451,94.6903,90
145,92.3451,94.6903,90
146,92.3451,94.6903,90
147,92.3451,94.6903,90
148,92.3451,94.6903,90
149,92.3451,94.6903,90
150,92.3451,94.6903,90
151,92.3451,94.6903,90
152,92.3451,94.6903,90
153,92.3451,94.6903,90
154,92.3451,94.6903,90
155,92.3451,94.6903,90
156,92.3451,94.6903,90
157,92.3451,94.6903,90
158,92.3451,94.6903,90
159,92.3451,94.6903,90
160,92.3451,94.6903,90
161,92.3451,94.6903,90
162,92.3451,94.6903,90
163,92.3451,94.6903,90
164,92.3451,94.6903,90
165,92.3451,94.6903,90
166,92.3451,94.6903,90
167,92.3451,94.6903,90
168,92.3451,94.6903,90
169,92.3451,94.6903,90
170,92.3451,94.6903,90
171,92.3451,94.6903,90
172,92.3451,94.6903,90
173,92.3451,94.6903,90
174,92.3451,94.6903,90
175,92.3451,94.6903,90
176,94.4543,95.5752,93.3333
177,94.4543,95.5752,93.3333
178,94.4543,95.5752,93.3333
179,94.4543,95.5752,93.3333
180,94.4543,95.5752,93.3333
181,94.4543,95.5752,93.3333
182,94.4543,95.5752,93.3333
183,94.4543,95.5752,93.3333
184,94.4543,95.5752,93.3333
185,94.4543,95.5752,93.3333
186,94.4543,95.5752,93.3333
187,94.4543,95.5752,93.3333
188,94.4543,95.5752,93.3333
189,94.4543,95.5752,93.3333
190,94.4543,95.5752,93.3333
191,94.4543,95.5752,93.3333
192,94.4543,95.5752,93.3333
193,94.4543,95.5752,93.3333
194,94.4543,95.5752,93.3333
195,94.4543,95.5752,93.3333
196,94.4543,95.5752,93.3333
197,94.4543,95.5752,93.3333
198,94.4543,95.5752,93.3333
199,94.4543,95.5752,93.3333
200,94.4543,95.5752,93.3333
201,94.4543,95.5752,93.3333
202,94.4543,95.5752,93.3333
203,94.4543,95.5752,93.3333
204,94.4543,95.5752,93.3333
205,94.4543,95.5752,93.3333
206,94.4543,95.5752,93.3333
207,94.4543,95.5752,93.3333
208,94.4543,95.5752,93.3333
209,94.4543,95.5752,93.3333
210,94.4543,95.5752,93.3333
211,94.4543,95.5752,93.3333
212,94.4543,95.5752,93.3333
213,94.4543,95.5752,93.3333
214,94.4543,95.5752,93.3333
215,94.4543,95.5752,93.3333
216,94.4543,95.5752,93.3333
217,94.4543,95.5752,93.3333
218,94.4543,95.5752,93.3333
219,94.4543,95.5752,93.3333
220,94.4543,95.5752,93.3333
221,94.4543,95.5752,93.3333
222,94.4543,95.5752,93.3333
223,94.4543,95.5752,93.3333
224,94.4543,95.5752,93.3333
225,94.4543,95.5752,93.3333
226,94.4543,95.5752,93.3333
227,94.4543,95.5752,93.3333
228,94.4543,95.5752,93.3333
229,94.4543,95.5752,93.3333
230,94.4543,95.5752,93.3333
231,94.4543,95.5752,93.3333
232,94.4543,95.5752,93.3333
233,94.4543,95.5752,93.3333
234,94.4543,95.5752,93.3333
235,94.4543,95.5752,93.3333
236,94.4543,95.5752,93.3333
237,94.4543,95.5752,93.3333
238,94.4543,95.5752,93.3333
239,94.4543,95.5752,93.3333
240,94.4543,95.5752,93.3333
241,94.4543,95.5752,93.3333
242,94.4543,95.5752,93.3333
243,94.4543,95.5752,93.3333
244,94.4543,95.5752,93.3333
245,94.4543,95.5752,93.3333
246,94.4543,95.5752,93.3333
247,94.4543,95.5752,93.3333
248,94.4543,95.5752,93.3333
249,94.4543,95.5752,93.3333
250,94.4543,95.5752,93.3333
251,94.4543,95.5752,93.3333
252,94.4543,95.5752,93.3333
253,94.4543,95.5752,93.3333
254,94.4543,95.5752,93.3333
255,94.4543,95.5752,93.3333
256,94.4543,95.5752,93.3333
257,94.4543,95.5752,93.3333
258,94.4543,95.5752,93.3333
259,94.4543,95.5752,93.3333
260,94.4543,95.5752,93.3333
261,94.4543,95.5752,93.3333
262,94.4543,95.5752,93.3333
263,94.4543,95.5752,93.3333
264,94.4543,95.5752,93.3333
265,94.4543,95.5752,93.3333
266,94.4543,95.5752,93.3333
267,94.4543,95.5752,93.3333
268,94.4543,95.5752,93.3333
269,94.4543,95.5752,93.3333
270,94.4543,95.5752,93.3333
271,94.4543,95.5752,93.3333
272,94.4543,95.5752,93.3333
273,94.4543,95.5752,93.3333
274,94.4543,95.5752,93.3333
275,94.4543,95.5752,93.3333
276,94.4543,95.5752,93.3333
277,94.4543,95.5752,93.3333
278,94.4543,95.5752,93.3333
279,94.4543,95.5752,93.3333
280,94.4543,95.5752,93.3333
281,94.4543,95.5752,93.3333
282,94.4543,95.5752,93.3333
283,94.4543,95.5752,93.3333
284,94.4543,95.5752,93.3333
285,94.4543,95.5752,93.3333
286,94.4543,95.5752,93.3333
287,94.4543,95.5752,93.3333
288,94.4543,95.5752,93.3333
289,94.4543,95.5752,93.3333
