n_it,%agr,%clas,%red
1,59.4543,95.5752,23.3333
2,69.0118,94.6903,43.3333
3,69.4543,95.5752,43.3333
4,69.4543,95.5752,43.3333
5,69.4543,95.5752,43.3333
6,73.1268,92.9203,53.3333
7,73.1268,92.9203,53.3333
8,78.2301,96.4602,60
9,78.2301,96.4602,60
10,81.9027,93.8053,70
11,81.9027,93.8053,70
12,92.2419,91.1504,93.3333
13,92.3451,94.6903,90
14,94.0118,94.6903,93.3333
