n_it,%agr,%clas,%red
1,60.3392,97.3451,23.3333
2,60.3392,97.3451,23.3333
3,69.4543,95.5752,43.3333
4,69.4543,95.5752,43.3333
5,76.5634,96.4602,56.6667
6,76.9026,93.8053,60
7,77.3451,94.6903,60
8,81.9027,93.8053,70
9,81.9027,93.8053,70
10,89.0118,94.6903,83.3333
11,89.0118,94.6903,83.3333
12,89.6903,89.3805,90
13,89.6903,89.3805,90
14,92.3451,94.6903,90
