n_it,%agr,%clas,%red
1,57.3451,94.6903,20
2,57.3451,94.6903,20
3,63.5693,93.8053,33.3333
4,63.5693,93.8053,33.3333
5,71.9027,93.8053,50
6,75.236,93.8053,56.6667
7,75.6785,94.6903,56.6667
8,75.6785,94.6903,56.6667
9,81.7994,90.2655,73.3333
10,83.0236,89.3805,76.6667
11,83.0236,89.3805,76.6667
12,85.1327,90.2655,80
13,85.1327,90.2655,80
14,89.2478,88.4956,90
