n_cooling,%agr,%clas,%red
0,63.6726,97.3451,30
1,72.0059,97.3451,46.6667
2,72.4484,98.2301,46.6667
3,72.4484,98.2301,46.6667
4,72.4484,98.2301,46.6667
5,74.8968,96.4602,53.3333
6,74.8968,96.4602,53.3333
7,74.8968,96.4602,53.3333
8,75.236,93.8053,56.6667
9,79.115,98.2301,60
10,79.4543,95.5752,63.3333
11,79.8968,96.4602,63.3333
12,79.8968,96.4602,63.3333
13,79.8968,96.4602,63.3333
14,79.8968,96.4602,63.3333
15,79.8968,96.4602,63.3333
16,79.8968,96.4602,63.3333
17,79.8968,96.4602,63.3333
18,79.8968,96.4602,63.3333
19,79.8968,96.4602,63.3333
20,83.2301,96.4602,70
21,83.2301,96.4602,70
22,83.2301,96.4602,70
23,83.2301,96.4602,70
24,83.2301,96.4602,70
25,83.2301,96.4602,70
26,83.2301,96.4602,70
27,83.2301,96.4602,70
28,83.2301,96.4602,70
29,83.2301,96.4602,70
30,83.2301,96.4602,70
31,83.2301,96.4602,70
32,83.2301,96.4602,70
33,83.2301,96.4602,70
34,83.2301,96.4602,70
35,83.2301,96.4602,70
36,83.2301,96.4602,70
37,83.2301,96.4602,70
38,83.2301,96.4602,70
39,83.2301,96.4602,70
40,83.2301,96.4602,70
41,86.1209,95.5752,76.6667
42,86.1209,95.5752,76.6667
43,86.1209,95.5752,76.6667
44,86.1209,95.5752,76.6667
45,86.1209,95.5752,76.6667
46,86.1209,95.5752,76.6667
47,86.1209,95.5752,76.6667
48,86.1209,95.5752,76.6667
49,86.1209,95.5752,76.6667
50,86.1209,95.5752,76.6667
51,86.1209,95.5752,76.6667
52,86.1209,95.5752,76.6667
53,86.1209,95.5752,76.6667
54,86.1209,95.5752,76.6667
55,86.1209,95.5752,76.6667
56,86.1209,95.5752,76.6667
57,86.1209,95.5752,76.6667
58,86.1209,95.5752,76.6667
59,86.1209,95.5752,76.6667
60,86.1209,95.5752,76.6667
61,86.1209,95.5752,76.6667
62,86.1209,95.5752,76.6667
63,86.1209,95.5752,76.6667
64,86.1209,95.5752,76.6667
65,86.1209,95.5752,76.6667
66,86.1209,95.5752,76.6667
67,86.1209,95.5752,76.6667
68,86.1209,95.5752,76.6667
69,86.1209,95.5752,76.6667
70,86.1209,95.5752,76.6667
71,86.1209,95.5752,76.6667
72,86.1209,95.5752,76.6667
73,86.1209,95.5752,76.6667
74,86.1209,95.5752,76.6667
75,86.1209,95.5752,76.6667
76,86.1209,95.5752,76.6667
77,86.1209,95.5752,76.6667
78,87.3451,94.6903,80
79,89.8968,96.4602,83.3333
80,89.8968,96.4602,83.3333
81,89.8968,96.4602,83.3333
82,90.6785,94.6903,86.6667
83,90.6785,94.6903,86.6667
84,90.6785,94.6903,86.6667
85,90.6785,94.6903,86.6667
86,90.6785,94.6903,86.6667
87,90.6785,94.6903,86.6667
88,90.6785,94.6903,86.6667
89,90.6785,94.6903,86.6667
90,90.6785,94.6903,86.6667
